phylum	class	phylum_class	new_phylum	new_class	marine	top_MOTU_class	pident_max_class	total_reads_class	class_DK_GBIF	class_SCAND_GBIF	notes
Entoprocta	NA	Entoprocta_NA	Entoprocta	Entoprocta*	NA	Phytopythium	100	9963080	#N/A	#N/A	#N/A
Evosea	Eumycetozoa	Evosea_Eumycetozoa	Evosea	Eumycetozoa	no	Didymium	88.779	365	#N/A	#N/A	#N/A
Evosea	NA	Evosea_NA	Evosea	NA	NA	Phytopythium	100	9963080	#N/A	#N/A	#N/A
Gastrotricha	NA	Gastrotricha_NA	Gastrotricha	Gastrotricha*	NA	Phytopythium	100	9963080	#N/A	#N/A	#N/A
Gnathostomulida	NA	Gnathostomulida_NA	Gnathostomulida	Gnathostomulida*	NA	Phytopythium	100	9963080	#N/A	#N/A	#N/A
Haptophyta	NA	Haptophyta_NA	Haptophyta	Haptophyta*	NA	Phytopythium	100	9963080	#N/A	#N/A	#N/A
Kinorhyncha	Allomalorhagida	Kinorhyncha_Allomalorhagida	Kinorhyncha	Allomalorhagida	yes	Pycnophyes kielensis	100	43	yes	yes	NA
Mollusca	Bivalvia	Mollusca_Bivalvia	Mollusca	Bivalvia	yes	Mytilus trossulus	100	1601519	yes	yes	NA
Mollusca	Cephalopoda	Mollusca_Cephalopoda	Mollusca	Cephalopoda	yes	Adelieledone	76.508	12666	yes	yes	#N/A
Mollusca	Gastropoda	Mollusca_Gastropoda	Mollusca	Gastropoda	yes	Peringia ulvae	100	1995148	yes	yes	NA
Mollusca	Polyplacophora	Mollusca_Polyplacophora	Mollusca	Polyplacophora	yes	Leptochiton	99.681	4622	yes	yes	NA
Mucoromycota	Mucoromycetes	Mucoromycota_Mucoromycetes	Mucoromycota	Mucoromycetes	no	Mucorales	99.681	21578	0	0	NA
NA	Bigyra	NA_Bigyra	Bigyra*	Bigyra	yes	Parietichytrium	95.847	2762	yes	yes	Thraustochytriaceae in DK
NA	Bolidophyceae	NA_Bolidophyceae	Bolidophyceae*	Bolidophyceae	yes	Triparma	79.872	15574	yes	yes	0
NA	Chrysophyceae	NA_Chrysophyceae	Chrysophyceae*	Chrysophyceae	yes	Poteriospumella	84.984	2097065	yes	yes	NA
NA	Cryptophyceae	NA_Cryptophyceae	Cryptophyta	Cryptophyceae	yes	Leucocryptos marina	100	180919	yes	yes	NA
NA	Dictyochophyceae	NA_Dictyochophyceae	Dictyochophyceae*	Dictyochophyceae	yes	Pseudochattonella verruculosa	99.681	22286	yes	yes	NA
NA	Dinophyceae	NA_Dinophyceae	Dinophyceae*	Dinophyceae	yes	Togula jolla	100	7671480	yes	yes	NA
NA	Eustigmatophyceae	NA_Eustigmatophyceae	Eustigmatophyceae*	Eustigmatophyceae	yes	Nannochloropsis limnetica	100	95021	yes	yes	NA
NA	Filasterea	NA_Filasterea	Filasterea*	Filasterea	yes	Capsaspora	100	591	yes	yes	NA
NA	Pelagophyceae	NA_Pelagophyceae	Pelagophyceae*	Pelagophyceae	yes	Aureococcus anophagefferens	100	236627	yes	yes	few records in DK/SCAND
NA	Phaeophyceae	NA_Phaeophyceae	Phaeophyceae*	Phaeophyceae	yes	Hincksia granulosa	100	7097338	yes	yes	NA
NA	Raphidophyceae	NA_Raphidophyceae	Raphidophyceae*	Raphidophyceae	yes	Haramonas	100	264114	yes	yes	Fibrocapsa found in DK
