kingdom	phylum	class
seq38	Chromista	Bacillariophyta	Coscinodiscophyceae
seq3800	Metazoa	Nematoda	Enoplea
seq3801	Chromista	Bacillariophyta	Bacillariophyceae
seq38011	Chromista	Myzozoa	Dinophyceae
seq38012	Chromista	NA	Bigyra
seq3802	Chromista	NA	Bigyra
seq38039	Chromista	Ciliophora	Spirotrichea
seq3804	Chromista	Bacillariophyta	Bacillariophyceae
seq38040	Chromista	Bacillariophyta	Bacillariophyceae
seq38047	Chromista	Bacillariophyta	Bacillariophyceae
seq38061	Chromista	NA	Bigyra
seq38062	Chromista	NA	Bigyra
seq38065	Chromista	Bacillariophyta	Coscinodiscophyceae
seq38075	Metazoa	Chordata	Actinopteri
seq3808	Chromista	NA	Bigyra
seq38097	Metazoa	Platyhelminthes	Rhabditophora
seq381	Metazoa	Annelida	Polychaeta
seq3810	Metazoa	Bryozoa	Gymnolaemata
seq38100	Chromista	Myzozoa	Dinophyceae
seq3813	Chromista	Ciliophora	Nassophorea
seq38137	Chromista	Apicomplexa	Conoidasida
seq3815	Fungi	Chytridiomycota	Chytridiomycetes
seq38151	Metazoa	Platyhelminthes	Rhabditophora
seq3816	Chromista	Bacillariophyta	Bacillariophyceae
seq38165	Chromista	Ciliophora	Spirotrichea
seq38173	Protozoa	Evosea	Variosea
seq38184	Chromista	Myzozoa	Dinophyceae
seq38185	Metazoa	Nematoda	Chromadorea
seq38192	Chromista	NA	Bigyra
seq38194	Metazoa	Mollusca	Bivalvia
seq382	Chromista	NA	Bigyra
seq38212	Chromista	Cryptophyta	Cryptophyceae
seq3826	Chromista	Ciliophora	Heterotrichea
seq3827	Metazoa	Arthropoda	Hexanauplia
seq38271	Chromista	Myzozoa	Dinophyceae
seq38273	Chromista	Myzozoa	Dinophyceae
seq38274	Chromista	Myzozoa	Dinophyceae
seq3828	Metazoa	Nematoda	Enoplea
seq38287	Plantae	Chlorophyta	Ulvophyceae
seq38293	Chromista	Ciliophora	Oligohymenophorea
seq383	Metazoa	Chordata	Actinopteri
seq3830	Metazoa	Arthropoda	Malacostraca
seq38303	Fungi	Ascomycota	Eurotiomycetes
seq3831	Chromista	Myzozoa	Dinophyceae
seq38313	Chromista	Cryptophyta	Cryptophyceae
seq38315	Chromista	NA	Bigyra
seq38316	Metazoa	Nemertea	Palaeonemertea
seq38319	Metazoa	Platyhelminthes	Trematoda
seq3833	Metazoa	Platyhelminthes	Rhabditophora
seq3835	Metazoa	Platyhelminthes	Rhabditophora
seq38363	Chromista	NA	Bigyra
seq3837	Chromista	Ciliophora	Litostomatea
seq38376	Fungi	Chytridiomycota	Chytridiomycetes
seq38381	Metazoa	Arthropoda	Collembola
seq38387	Chromista	Ciliophora	Heterotrichea
seq384	Chromista	Ochrophyta	Dictyochophyceae
seq38405	Plantae	Streptophyta	Bryopsida
seq38418	Chromista	Ciliophora	Odontostomatea
seq3842	Chromista	Ciliophora	Oligohymenophorea
seq38427	Chromista	NA	Bigyra
seq3844	Chromista	Ciliophora	Spirotrichea
seq3846	Chromista	Ciliophora	Litostomatea
seq38469	Metazoa	Mollusca	Bivalvia
seq385	Chromista	Cryptophyta	Cryptophyceae
seq38509	Chromista	Myzozoa	Dinophyceae
seq38514	Metazoa	Annelida	Polychaeta
seq3852	Plantae	Streptophyta	Magnoliopsida
seq38525	Chromista	Ciliophora	Colpodea
seq38528	Chromista	NA	Bigyra
seq38540	Metazoa	Platyhelminthes	Rhabditophora
seq38549	Chromista	Bacillariophyta	Mediophyceae
seq3855	Metazoa	Nematoda	Chromadorea
seq38555	Chromista	Ciliophora	Spirotrichea
seq38568	Metazoa	Annelida	Polychaeta
seq3857	Chromista	Bacillariophyta	Bacillariophyceae
seq38570	Chromista	Apicomplexa	Conoidasida
seq38571	Chromista	Myzozoa	Dinophyceae
seq38576	Fungi	Chytridiomycota	Chytridiomycetes
seq38580	Chromista	Ciliophora	Oligohymenophorea
seq3859	Chromista	Ochrophyta	Chrysophyceae
seq386	Metazoa	Arthropoda	Hexanauplia
seq3860	Metazoa	Arthropoda	Hexanauplia
seq38614	Metazoa	Arthropoda	Hexanauplia
seq3863	Chromista	Myzozoa	Dinophyceae
seq38632	Chromista	Ochrophyta	Eustigmatophyceae
seq38641	Chromista	Endomyxa	Ascetosporea
seq38657	Metazoa	Nemertea	Palaeonemertea
seq3866	Chromista	Cryptophyta	Cryptophyceae
seq38666	Metazoa	Arthropoda	Hexanauplia
seq38675	Metazoa	Platyhelminthes	Rhabditophora
seq38684	Metazoa	Arthropoda	Insecta
seq3869	Fungi	Basidiomycota	Microbotryomycetes
seq38692	Metazoa	Nematoda	Enoplea
seq38693	Chromista	Ciliophora	Heterotrichea
seq38698	Chromista	Ciliophora	Spirotrichea
seq387	Metazoa	Annelida	Polychaeta
seq3870	Plantae	Streptophyta	Magnoliopsida
seq38727	Chromista	Myzozoa	Dinophyceae
seq38734	Fungi	Mucoromycota	Glomeromycetes
seq38739	Chromista	Ciliophora	Litostomatea
seq38740	Chromista	Ciliophora	Litostomatea
seq38743	Chromista	PX clade	Xanthophyceae
seq38752	Chromista	Ciliophora	Oligohymenophorea
seq38756	Chromista	Cercozoa	Thecofilosea
seq38757	Chromista	Ciliophora	Spirotrichea
seq38765	Chromista	Myzozoa	Dinophyceae
seq3878	Chromista	Bacillariophyta	Mediophyceae
seq38793	Chromista	Bacillariophyta	Bacillariophyceae
seq388	Chromista	Ciliophora	Spirotrichea
seq38803	Chromista	Ciliophora	Litostomatea
seq38808	Chromista	Ciliophora	Spirotrichea
seq38811	Metazoa	Kinorhyncha	Cyclorhagida
seq38823	Chromista	Ciliophora	Oligohymenophorea
seq38833	Chromista	Cryptophyta	Cryptophyceae
seq38834	Chromista	Myzozoa	Dinophyceae
seq38850	Chromista	Myzozoa	Dinophyceae
seq38852	Chromista	Myzozoa	Dinophyceae
seq38855	Chromista	Ciliophora	Plagiopylea
seq38876	Chromista	Cryptophyta	Cryptophyceae
seq38879	Chromista	Ciliophora	Litostomatea
seq38880	Chromista	Ochrophyta	Eustigmatophyceae
seq3889	Metazoa	Chordata	Actinopteri
seq38895	Chromista	Myzozoa	Dinophyceae
seq3891	Metazoa	Arthropoda	Hexanauplia
seq38911	Chromista	Myzozoa	Dinophyceae
seq3894	Plantae	Rhodophyta	Florideophyceae
seq38944	Protozoa	NA	Choanoflagellata
seq38947	Chromista	Myzozoa	Dinophyceae
seq38990	Chromista	Ciliophora	Oligohymenophorea
seq38992	Chromista	Ciliophora	Spirotrichea
seq390	Chromista	Bacillariophyta	Fragilariophyceae
seq39013	Chromista	Ciliophora	Litostomatea
seq39014	Chromista	Myzozoa	Dinophyceae
seq39015	Chromista	Cercozoa	Thecofilosea
seq39017	Chromista	Ciliophora	Litostomatea
seq3902	Chromista	Ochrophyta	Chrysophyceae
seq39020	Chromista	Ciliophora	Spirotrichea
seq39037	Chromista	NA	Bigyra
seq3904	Chromista	Ciliophora	Spirotrichea
seq39056	Metazoa	Platyhelminthes	Rhabditophora
seq39070	Chromista	Ciliophora	Litostomatea
seq39079	Chromista	Endomyxa	Phytomyxea
seq3908	Chromista	Ciliophora	Oligohymenophorea
seq39087	Chromista	Ciliophora	Spirotrichea
seq39092	Chromista	Ciliophora	Heterotrichea
seq39096	Chromista	Apicomplexa	Marosporida
seq39099	Chromista	Ciliophora	Litostomatea
seq3910	Chromista	Ochrophyta	Chrysophyceae
seq39100	Metazoa	Nematoda	Chromadorea
seq39122	Chromista	Ciliophora	Litostomatea
seq39124	Chromista	Myzozoa	Dinophyceae
seq39141	Plantae	Streptophyta	Marchantiopsida
seq39156	Chromista	Myzozoa	Dinophyceae
seq39161	Chromista	Ochrophyta	Dictyochophyceae
seq3917	Chromista	Ciliophora	Litostomatea
seq3918	Chromista	Ciliophora	Oligohymenophorea
seq39186	Chromista	Cryptophyta	Cryptophyceae
seq39195	Chromista	Myzozoa	Dinophyceae
seq39215	Metazoa	Arthropoda	Malacostraca
seq39224	Chromista	Ciliophora	Oligohymenophorea
seq39231	Metazoa	Tardigrada	Eutardigrada
seq39241	Chromista	Ciliophora	Spirotrichea
seq3925	Chromista	Ciliophora	Spirotrichea
seq39265	Chromista	Bacillariophyta	Fragilariophyceae
seq39268	Protozoa	Evosea	Variosea
seq3927	Chromista	Ciliophora	Spirotrichea
seq3928	Metazoa	Nematoda	Chromadorea
seq39283	Metazoa	Arthropoda	Arachnida
seq39290	Chromista	Ciliophora	Litostomatea
seq39291	Chromista	Cercozoa	Imbricatea
seq393	Chromista	Myzozoa	Dinophyceae
seq39300	Chromista	Bacillariophyta	Bacillariophyceae
seq39301	Chromista	NA	Bigyra
seq39321	Chromista	Ciliophora	Litostomatea
seq39324	Metazoa	Nematoda	Chromadorea
seq39328	Chromista	Endomyxa	Phytomyxea
seq3933	Chromista	Myzozoa	Dinophyceae
seq39337	Chromista	Cercozoa	Imbricatea
seq3934	Chromista	Ciliophora	Spirotrichea
seq39348	Chromista	Myzozoa	Dinophyceae
seq39357	Chromista	Ciliophora	Heterotrichea
seq39362	Chromista	Heliozoa	Centroplasthelida
seq39368	Chromista	Ciliophora	Parablepharismea
seq3937	Chromista	Myzozoa	Dinophyceae
seq39370	Chromista	NA	Bigyra
seq39371	Chromista	Ochrophyta	Chrysophyceae
seq39372	Chromista	PX clade	Phaeophyceae
seq3939	Chromista	Myzozoa	Dinophyceae
seq394	Metazoa	Mollusca	Bivalvia
seq3940	Fungi	Basidiomycota	Microbotryomycetes
seq39403	Chromista	Myzozoa	Dinophyceae
seq39416	Metazoa	Cnidaria	Hydrozoa
seq39433	Metazoa	Chordata	Actinopteri
seq39435	Chromista	Heliozoa	Centroplasthelida
seq3944	Metazoa	Platyhelminthes	Rhabditophora
seq39459	Metazoa	Nematoda	Chromadorea
seq39469	Metazoa	Arthropoda	Ostracoda
seq39473	Chromista	Ciliophora	Litostomatea
seq3948	Plantae	Prasinodermophyta	Prasinodermophyceae
seq39481	Chromista	Cryptophyta	Cryptophyceae
seq395	Chromista	Myzozoa	Dinophyceae
seq39502	Chromista	NA	Bigyra
seq39519	Metazoa	Nematoda	Chromadorea
seq39532	Chromista	NA	Bigyra
seq39533	Chromista	Ciliophora	Spirotrichea
seq39537	Chromista	NA	Bigyra
seq39546	Chromista	Ciliophora	Colpodea
seq39558	Chromista	Myzozoa	Dinophyceae
seq3956	Chromista	Bacillariophyta	Bacillariophyceae
seq39569	Chromista	Apicomplexa	Conoidasida
seq39574	Chromista	NA	Bigyra
seq39599	Chromista	Myzozoa	Dinophyceae
seq396	Metazoa	Chordata	Actinopteri
seq3960	Fungi	Chytridiomycota	Chytridiomycetes
seq39618	Chromista	Ciliophora	Litostomatea
seq39620	Metazoa	Arthropoda	Insecta
seq39621	Metazoa	Arthropoda	Insecta
seq39626	Metazoa	Arthropoda	Arachnida
seq39633	Chromista	Myzozoa	Dinophyceae
seq3964	Metazoa	Arthropoda	Hexanauplia
seq39640	Chromista	Bacillariophyta	Bacillariophyceae
seq39643	Chromista	Ciliophora	Plagiopylea
seq39647	Chromista	Ciliophora	Oligohymenophorea
seq39687	Metazoa	Nematoda	Chromadorea
seq39697	Chromista	Myzozoa	Dinophyceae
seq397	Chromista	Cryptophyta	Cryptophyceae
seq39707	Chromista	Cryptophyta	Cryptophyceae
seq39718	Metazoa	Nematoda	Enoplea
seq39724	Chromista	Cercozoa	Thecofilosea
seq39726	Chromista	Cercozoa	Thecofilosea
seq39735	Chromista	Cercozoa	Thecofilosea
seq39743	Fungi	Ascomycota	Saccharomycetes
seq3975	Chromista	Ciliophora	Oligohymenophorea
seq39751	Chromista	Myzozoa	Dinophyceae
seq39756	Fungi	Chytridiomycota	Chytridiomycetes
seq3976	Plantae	Chlorophyta	Ulvophyceae
seq3977	Chromista	Ciliophora	Oligohymenophorea
seq39772	Chromista	Ciliophora	Oligohymenophorea
seq3978	Chromista	Ciliophora	Oligohymenophorea
seq39805	Metazoa	Annelida	Polychaeta
seq39819	Metazoa	Mollusca	Gastropoda
seq3982	Chromista	Cryptophyta	Cryptophyceae
seq39834	Chromista	Ciliophora	Oligohymenophorea
seq39841	Fungi	Zoopagomycota	Zoopagomycetes
seq39859	Chromista	Bacillariophyta	Bacillariophyceae
seq3987	Metazoa	Annelida	Clitellata
seq39871	Chromista	Ciliophora	Spirotrichea
seq39875	Chromista	Apicomplexa	Conoidasida
seq39879	Fungi	Chytridiomycota	Chytridiomycetes
seq39885	Chromista	Myzozoa	Dinophyceae
seq3989	Chromista	Cercozoa	Imbricatea
seq399	Chromista	Myzozoa	Dinophyceae
seq39914	Chromista	Myzozoa	Dinophyceae
seq39915	Metazoa	Nematoda	Chromadorea
seq39916	Chromista	Ciliophora	Muranotrichea
seq39920	Metazoa	Nematoda	Chromadorea
seq39924	Chromista	Bacillariophyta	Bacillariophyceae
seq39933	Plantae	Chlorophyta	Ulvophyceae
seq3996	Protozoa	Sulcozoa	Breviatea
seq4	Metazoa	Arthropoda	Hexanauplia
seq4000	Chromista	Ciliophora	Nassophorea
seq40029	Fungi	Chytridiomycota	Chytridiomycetes
seq4003	Metazoa	Cnidaria	Hydrozoa
seq40056	Metazoa	Arthropoda	Collembola
seq4007	Chromista	Apicomplexa	Conoidasida
seq40075	Chromista	Myzozoa	Dinophyceae
seq40076	Chromista	Ciliophora	Litostomatea
seq40099	Chromista	Ochrophyta	Dictyochophyceae
seq401	Chromista	Myzozoa	Dinophyceae
seq40102	Chromista	Ciliophora	Litostomatea
seq40109	Chromista	Myzozoa	Dinophyceae
seq40113	Chromista	Ciliophora	Litostomatea
seq40119	Chromista	Ciliophora	Litostomatea
seq40125	Chromista	Cercozoa	Imbricatea
seq40145	Chromista	NA	Bigyra
seq40148	Chromista	Cryptophyta	Cryptophyceae
seq40151	Metazoa	Tardigrada	Eutardigrada
seq40158	Chromista	Myzozoa	Dinophyceae
seq4016	Chromista	Bacillariophyta	Bacillariophyceae
seq40161	Plantae	Chlorophyta	Chlorophyceae
seq40170	Chromista	Myzozoa	Dinophyceae
seq40180	Chromista	Myzozoa	Dinophyceae
seq40187	Chromista	Ciliophora	Litostomatea
seq4019	Chromista	Myzozoa	Dinophyceae
seq402	Metazoa	Mollusca	Bivalvia
seq40220	Protozoa	NA	Choanoflagellata
seq40243	Chromista	Bacillariophyta	Bacillariophyceae
seq40262	Chromista	Ciliophora	Spirotrichea
seq4027	Chromista	Apicomplexa	Conoidasida
seq40279	Chromista	Ciliophora	Litostomatea
seq40280	Chromista	Apicomplexa	Conoidasida
seq4029	Protozoa	Sulcozoa	Breviatea
seq40303	Metazoa	Nematoda	Chromadorea
seq40315	Chromista	Cercozoa	Thecofilosea
seq40323	Metazoa	Arthropoda	Hexanauplia
seq40329	Fungi	Ascomycota	Eurotiomycetes
seq40342	Chromista	NA	Hyphochytriomycetes
seq40349	Chromista	Ochrophyta	Chrysophyceae
seq40365	Metazoa	Arthropoda	Insecta
seq4037	Chromista	Ochrophyta	Raphidophyceae
seq40370	Chromista	Myzozoa	Dinophyceae
seq40373	Chromista	Ciliophora	Prostomatea
seq40379	Chromista	Bacillariophyta	Bacillariophyceae
seq4038	Chromista	Bacillariophyta	Bacillariophyceae
seq40383	Metazoa	Platyhelminthes	Rhabditophora
seq40384	Fungi	Chytridiomycota	Chytridiomycetes
seq4039	Metazoa	Nematoda	Enoplea
seq40393	Metazoa	Nematoda	Chromadorea
seq4041	Chromista	Ciliophora	Oligohymenophorea
seq40410	Metazoa	Nemertea	Palaeonemertea
seq40416	Chromista	Myzozoa	Dinophyceae
seq40432	Metazoa	Annelida	Clitellata
seq40443	Chromista	Myzozoa	Dinophyceae
seq40446	Plantae	Chlorophyta	Chloropicophyceae
seq40452	Fungi	Ascomycota	Saccharomycetes
seq40457	Chromista	Ciliophora	Colpodea
seq40464	Chromista	Cryptophyta	Cryptophyceae
seq40493	Metazoa	Nematoda	Chromadorea
seq40526	Chromista	Cryptophyta	Cryptophyceae
seq40531	Chromista	Myzozoa	Dinophyceae
seq40533	Chromista	Endomyxa	Ascetosporea
seq40547	Chromista	Cercozoa	Imbricatea
seq40554	Metazoa	Nematoda	Chromadorea
seq40561	Chromista	Bacillariophyta	Fragilariophyceae
seq40572	Chromista	Bacillariophyta	Fragilariophyceae
seq40594	Chromista	Myzozoa	Dinophyceae
seq406	Chromista	PX clade	Phaeophyceae
seq4060	Metazoa	Bryozoa	Gymnolaemata
seq40607	Protozoa	Discosea	Flabellinia
seq40615	Metazoa	Arthropoda	Hexanauplia
seq40616	Chromista	Bacillariophyta	Bacillariophyceae
seq40617	Protozoa	Discosea	Flabellinia
seq40622	Chromista	Ciliophora	Karyorelictea
seq40649	Metazoa	Arthropoda	Malacostraca
seq4066	Chromista	Cryptophyta	Cryptophyceae
seq40673	Fungi	Chytridiomycota	Chytridiomycetes
seq40677	Fungi	Chytridiomycota	Chytridiomycetes
seq40684	Chromista	Ciliophora	Litostomatea
seq40688	Metazoa	Annelida	Polychaeta
seq40704	Chromista	Heliozoa	Centroplasthelida
seq40717	Protozoa	Evosea	Variosea
seq40759	Metazoa	Nematoda	Chromadorea
seq4077	Metazoa	Platyhelminthes	Rhabditophora
seq40772	Metazoa	Nematoda	Chromadorea
seq40774	Chromista	Ochrophyta	Eustigmatophyceae
seq40776	Fungi	Ascomycota	Saccharomycetes
seq40778	Metazoa	Annelida	Polychaeta
seq40779	Plantae	Streptophyta	Magnoliopsida
seq4078	Chromista	Ciliophora	Oligohymenophorea
seq408	Metazoa	Mollusca	Bivalvia
seq40802	Chromista	Cryptophyta	Cryptophyceae
seq40807	Metazoa	Platyhelminthes	Rhabditophora
seq40813	Chromista	Myzozoa	Dinophyceae
seq40814	Chromista	Myzozoa	Dinophyceae
seq40815	Metazoa	Nematoda	Chromadorea
seq40816	Chromista	Ciliophora	Litostomatea
seq4082	Metazoa	Platyhelminthes	Rhabditophora
seq40821	Chromista	Myzozoa	Dinophyceae
seq4084	Chromista	Ciliophora	Litostomatea
seq40869	Fungi	Chytridiomycota	Monoblepharidomycetes
seq40878	Metazoa	Nematoda	Chromadorea
seq40890	Chromista	Myzozoa	Dinophyceae
seq40891	Fungi	Chytridiomycota	Chytridiomycetes
seq40892	Fungi	Ascomycota	Saccharomycetes
seq40899	Chromista	Myzozoa	Dinophyceae
seq4090	Chromista	Ciliophora	Oligohymenophorea
seq40903	Chromista	Ciliophora	Oligohymenophorea
seq40904	Chromista	Ciliophora	Prostomatea
seq40910	Chromista	Ciliophora	Spirotrichea
seq40931	Chromista	Ciliophora	Oligohymenophorea
seq4094	Metazoa	Arthropoda	Hexanauplia
seq40948	Protozoa	NA	Choanoflagellata
seq40952	Chromista	Cercozoa	Imbricatea
seq40968	Chromista	Myzozoa	Dinophyceae
seq4098	Chromista	Ciliophora	Litostomatea
seq4099	Metazoa	Platyhelminthes	Rhabditophora
seq410	Metazoa	Arthropoda	Arachnida
seq4100	Chromista	Ciliophora	Heterotrichea
seq41009	Chromista	Myzozoa	Dinophyceae
seq41011	Chromista	NA	Bigyra
seq41015	Chromista	Cercozoa	Thecofilosea
seq41027	Chromista	Ciliophora	Litostomatea
seq4103	Metazoa	Platyhelminthes	Rhabditophora
seq4104	Fungi	Chytridiomycota	Chytridiomycetes
seq41048	Metazoa	Bryozoa	Gymnolaemata
seq4106	Chromista	Ciliophora	Oligohymenophorea
seq41072	Chromista	NA	Bigyra
seq41073	Metazoa	Nematoda	Chromadorea
seq41077	Metazoa	Arthropoda	Ostracoda
seq4108	Chromista	Ochrophyta	Chrysophyceae
seq41084	Metazoa	Nematoda	Enoplea
seq41089	Chromista	Ciliophora	Spirotrichea
seq41096	Chromista	Ciliophora	Litostomatea
seq41098	Metazoa	Arthropoda	Hexanauplia
seq41100	Chromista	Myzozoa	Dinophyceae
seq41104	Metazoa	Platyhelminthes	Rhabditophora
seq4112	Metazoa	Arthropoda	Hexanauplia
seq4113	Chromista	Endomyxa	Ascetosporea
seq41134	Chromista	Ciliophora	Karyorelictea
seq41151	Metazoa	Platyhelminthes	Rhabditophora
seq41154	Chromista	Ciliophora	Litostomatea
seq41164	Chromista	Ciliophora	Litostomatea
seq41166	Metazoa	Nematoda	Chromadorea
seq41175	Chromista	Ciliophora	Colpodea
seq4118	Chromista	Bacillariophyta	Coscinodiscophyceae
seq41181	Metazoa	Platyhelminthes	Rhabditophora
seq41185	Metazoa	Annelida	Clitellata
seq4119	Chromista	Cercozoa	Imbricatea
seq41196	Chromista	Ciliophora	Oligohymenophorea
seq41199	Chromista	Ciliophora	Oligohymenophorea
seq41207	Chromista	Bacillariophyta	Mediophyceae
seq41229	Chromista	Ciliophora	Oligohymenophorea
seq4124	Metazoa	Arthropoda	Insecta
seq41240	Chromista	Myzozoa	Dinophyceae
seq41251	Metazoa	Porifera	Demospongiae
seq4126	Metazoa	Platyhelminthes	Rhabditophora
seq41266	Chromista	Myzozoa	Dinophyceae
seq41275	Chromista	Myzozoa	Dinophyceae
seq4128	Chromista	Cryptophyta	Cryptophyceae
seq41282	Metazoa	Platyhelminthes	Rhabditophora
seq4131	Chromista	Ciliophora	Oligohymenophorea
seq41314	Chromista	Ciliophora	Heterotrichea
seq41335	Chromista	Ciliophora	Spirotrichea
seq41336	Chromista	Myzozoa	Dinophyceae
seq41348	Chromista	Myzozoa	Dinophyceae
seq41354	Metazoa	Annelida	Polychaeta
seq41358	Chromista	Bacillariophyta	Bacillariophyceae
seq41362	Chromista	NA	Bigyra
seq41366	Chromista	Ciliophora	Spirotrichea
seq41368	Metazoa	Arthropoda	Hexanauplia
seq41371	Metazoa	Nematoda	Chromadorea
seq41372	Chromista	Ciliophora	Spirotrichea
seq41373	Chromista	Myzozoa	Dinophyceae
seq41378	Chromista	Myzozoa	Dinophyceae
seq41383	Metazoa	Annelida	Polychaeta
seq41386	Fungi	Basidiomycota	Agaricomycetes
seq4139	Metazoa	Kinorhyncha	Allomalorhagida
seq41411	Chromista	Ciliophora	Spirotrichea
seq41415	Chromista	Ciliophora	Spirotrichea
seq41425	Chromista	Ciliophora	Oligohymenophorea
seq41427	Chromista	Myzozoa	Dinophyceae
seq41447	Protozoa	NA	Choanoflagellata
seq41451	Plantae	Streptophyta	Zygnemophyceae
seq41456	Chromista	Ciliophora	Oligohymenophorea
seq41467	Chromista	Apicomplexa	Conoidasida
seq41480	Chromista	Cercozoa	Imbricatea
seq41491	Chromista	Myzozoa	Dinophyceae
seq41494	Chromista	Myzozoa	Dinophyceae
seq4150	Chromista	Cryptophyta	Cryptophyceae
seq41507	Chromista	Ciliophora	Oligohymenophorea
seq4154	Chromista	Ciliophora	Spirotrichea
seq4155	Chromista	Cryptophyta	Cryptophyceae
seq41557	Fungi	Chytridiomycota	Chytridiomycetes
seq41559	Chromista	Ciliophora	Spirotrichea
seq4159	Chromista	Ciliophora	Litostomatea
seq41611	Chromista	Ciliophora	Spirotrichea
seq41625	Chromista	Myzozoa	Dinophyceae
seq41639	Metazoa	Arthropoda	Collembola
seq41657	Chromista	Myzozoa	Dinophyceae
seq41663	Metazoa	Platyhelminthes	Rhabditophora
seq41668	Chromista	Ciliophora	Spirotrichea
seq4167	Chromista	Endomyxa	Ascetosporea
seq4168	Metazoa	Cnidaria	Hydrozoa
seq41685	Metazoa	Arthropoda	Collembola
seq41691	Fungi	Chytridiomycota	Chytridiomycetes
seq41696	Chromista	Ciliophora	Litostomatea
seq417	Chromista	Bacillariophyta	Coscinodiscophyceae
seq41708	Chromista	Myzozoa	Dinophyceae
seq4172	Fungi	Chytridiomycota	Chytridiomycetes
seq41720	Plantae	Rhodophyta	Florideophyceae
seq41725	Metazoa	Chordata	Appendicularia
seq41729	Chromista	Cryptophyta	Cryptophyceae
seq41731	Metazoa	Arthropoda	Arachnida
seq41738	Chromista	Bacillariophyta	Bacillariophyceae
seq41741	Chromista	NA	Bigyra
seq41746	Chromista	Myzozoa	Dinophyceae
seq41748	Chromista	Myzozoa	Dinophyceae
seq4175	Chromista	Ciliophora	Oligohymenophorea
seq41750	Chromista	Myzozoa	Dinophyceae
seq4177	Chromista	Ochrophyta	Chrysophyceae
seq41780	Chromista	Bacillariophyta	Bacillariophyceae
seq41795	Chromista	Cercozoa	Imbricatea
seq41808	Chromista	Myzozoa	Dinophyceae
seq41810	Fungi	Zoopagomycota	Zoopagomycetes
seq41812	Chromista	Bacillariophyta	Bacillariophyceae
seq4184	Chromista	Cercozoa	Imbricatea
seq41845	Chromista	Ciliophora	Oligohymenophorea
seq41855	Chromista	Ciliophora	Litostomatea
seq41862	Chromista	Bacillariophyta	Bacillariophyceae
seq41875	Metazoa	Cnidaria	Hydrozoa
seq41876	Chromista	Ciliophora	Odontostomatea
seq4188	Metazoa	Arthropoda	Hexanauplia
seq41882	Chromista	Myzozoa	Dinophyceae
seq41901	Fungi	Chytridiomycota	Chytridiomycetes
seq41919	Metazoa	Platyhelminthes	Rhabditophora
seq41923	Chromista	Myzozoa	Dinophyceae
seq41933	Chromista	Myzozoa	Dinophyceae
seq41945	Metazoa	Nematoda	Chromadorea
seq4195	Chromista	Ciliophora	Oligohymenophorea
seq4196	Chromista	Ciliophora	Spirotrichea
seq41965	Metazoa	Chordata	Actinopteri
seq41967	Chromista	Myzozoa	Dinophyceae
seq41973	Chromista	NA	Bigyra
seq41977	Chromista	Ciliophora	Oligohymenophorea
seq4198	Chromista	Ciliophora	Heterotrichea
seq41984	Chromista	Ciliophora	Spirotrichea
seq41994	Chromista	Heliozoa	Centroplasthelida
seq41998	Chromista	Cercozoa	Imbricatea
seq4200	Plantae	Rhodophyta	Florideophyceae
seq42001	Fungi	Zoopagomycota	Entomophthoromycetes
seq42007	Chromista	Myzozoa	Dinophyceae
seq42009	Chromista	Ciliophora	Litostomatea
seq42010	Chromista	Myzozoa	Dinophyceae
seq42018	Fungi	Mucoromycota	Glomeromycetes
seq42024	Chromista	Ciliophora	Litostomatea
seq42025	Metazoa	Nematoda	Chromadorea
seq42028	Chromista	Bacillariophyta	Fragilariophyceae
seq42038	Fungi	Ascomycota	Saccharomycetes
seq42049	Fungi	Chytridiomycota	Monoblepharidomycetes
seq42057	Chromista	Cercozoa	Thecofilosea
seq42058	Chromista	NA	Bigyra
seq42075	Chromista	Ciliophora	Spirotrichea
seq42077	Fungi	Chytridiomycota	Chytridiomycetes
seq4208	Protozoa	NA	Choanoflagellata
seq42089	Chromista	Myzozoa	Dinophyceae
seq4209	Fungi	Ascomycota	Leotiomycetes
seq42090	Chromista	Myzozoa	Dinophyceae
seq4210	Chromista	Bacillariophyta	Fragilariophyceae
seq42101	Chromista	Ciliophora	Oligohymenophorea
seq42105	Chromista	Apicomplexa	Conoidasida
seq42118	Chromista	Bacillariophyta	Bacillariophyceae
seq42124	Chromista	Myzozoa	Dinophyceae
seq42147	Chromista	Ciliophora	Litostomatea
seq42172	Fungi	Basidiomycota	Microbotryomycetes
seq42175	Chromista	Ciliophora	Karyorelictea
seq42180	Metazoa	Nematoda	Chromadorea
seq4219	Chromista	Bacillariophyta	Fragilariophyceae
seq42198	Metazoa	Cnidaria	Hydrozoa
seq422	Plantae	Chlorophyta	Pyramimonadophyceae
seq42203	Chromista	Ciliophora	Colpodea
seq42207	Chromista	Ciliophora	Spirotrichea
seq42214	Chromista	Ciliophora	Spirotrichea
seq42225	Chromista	Ciliophora	Spirotrichea
seq42240	Chromista	Ciliophora	Litostomatea
seq42247	Chromista	Ciliophora	Spirotrichea
seq42255	Chromista	Heliozoa	Centroplasthelida
seq42258	Chromista	Ciliophora	Prostomatea
seq42259	Fungi	Ascomycota	Saccharomycetes
seq42260	Metazoa	Nematoda	Chromadorea
seq4227	Metazoa	Arthropoda	Hexanauplia
seq42280	Chromista	Ciliophora	Litostomatea
seq42286	Chromista	Endomyxa	Ascetosporea
