kingdom	phylum	class
seq105644	Chromista	Endomyxa	Ascetosporea
seq10568	Chromista	Endomyxa	Phytomyxea
seq105713	Metazoa	Arthropoda	Hexanauplia
seq105718	Protozoa	Tubulinea	Elardia
seq10573	Chromista	Bacillariophyta	Bacillariophyceae
seq105757	Metazoa	Arthropoda	Collembola
seq10576	Chromista	NA	Bigyra
seq105786	Chromista	Myzozoa	Dinophyceae
seq10582	Metazoa	Bryozoa	Gymnolaemata
seq10588	Chromista	Ciliophora	Spirotrichea
seq105896	Metazoa	Nematoda	Enoplea
seq105897	Chromista	NA	Developea
seq10593	Metazoa	Nematoda	Chromadorea
seq105948	Chromista	NA	Developea
seq106	Chromista	Myzozoa	Dinophyceae
seq106053	Chromista	Bacillariophyta	Bacillariophyceae
seq106093	Chromista	Myzozoa	Dinophyceae
seq106128	Metazoa	Cnidaria	Hydrozoa
seq10613	Metazoa	Arthropoda	Insecta
seq10614	Chromista	Ciliophora	Karyorelictea
seq106172	Chromista	Ciliophora	Oligohymenophorea
seq106194	Plantae	Chlorophyta	Chlorophyceae
seq10621	Chromista	NA	Bigyra
seq106228	Protozoa	Discosea	Flabellinia
seq106259	Chromista	Cercozoa	Thecofilosea
seq10626	Chromista	Ochrophyta	Chrysophyceae
seq106267	Fungi	Chytridiomycota	Chytridiomycetes
seq10631	Chromista	Myzozoa	Dinophyceae
seq10639	Metazoa	Nematoda	Chromadorea
seq1064	Chromista	Ochrophyta	Dictyochophyceae
seq10640	Metazoa	Nematoda	Chromadorea
seq10641	Chromista	Cercozoa	Imbricatea
seq106415	Metazoa	Nematoda	Chromadorea
seq10645	Chromista	Ochrophyta	Dictyochophyceae
seq106502	Chromista	Myzozoa	Dinophyceae
seq10651	Metazoa	Nematoda	Chromadorea
seq10653	Chromista	Ciliophora	Litostomatea
seq106535	Plantae	Streptophyta	Pinopsida
seq106547	Chromista	NA	Bigyra
seq10658	Metazoa	Mollusca	Bivalvia
seq10660	Chromista	Endomyxa	Phytomyxea
seq106630	Chromista	Myzozoa	Dinophyceae
seq106640	Metazoa	Nematoda	Chromadorea
seq1067	Chromista	Myzozoa	Dinophyceae
seq10677	Chromista	Bacillariophyta	Bacillariophyceae
seq106789	Metazoa	Nematoda	Chromadorea
seq1068	Metazoa	Cnidaria	Hydrozoa
seq106826	Chromista	Myzozoa	Dinophyceae
seq10685	Chromista	Bacillariophyta	Bacillariophyceae
seq1069	Metazoa	Platyhelminthes	Rhabditophora
seq106908	Fungi	Basidiomycota	Agaricomycetes
seq10691	Chromista	Ciliophora	Spirotrichea
seq10697	Chromista	Myzozoa	Dinophyceae
seq10699	Chromista	Myzozoa	Dinophyceae
seq107	Metazoa	Annelida	Polychaeta
seq10700	Metazoa	Nematoda	Chromadorea
seq107038	Chromista	Myzozoa	Dinophyceae
seq10706	Metazoa	Annelida	Polychaeta
seq10708	Chromista	Cryptophyta	Cryptophyceae
seq10711	Chromista	Ciliophora	Oligohymenophorea
seq10714	Chromista	Heliozoa	Centroplasthelida
seq1072	Fungi	Ascomycota	Saccharomycetes
seq10723	Metazoa	Arthropoda	Hexanauplia
seq10729	Chromista	Myzozoa	Dinophyceae
seq1073	Chromista	Cercozoa	Imbricatea
seq10730	Plantae	Streptophyta	Polytrichopsida
seq107384	Chromista	NA	Bigyra
seq1075	Metazoa	Bryozoa	Gymnolaemata
seq10753	Metazoa	Mollusca	Gastropoda
seq10754	Chromista	Myzozoa	Dinophyceae
seq10757	Chromista	Cercozoa	Thecofilosea
seq107574	Chromista	Bacillariophyta	Coscinodiscophyceae
seq1076	Chromista	Bacillariophyta	Coscinodiscophyceae
seq107627	Chromista	Bacillariophyta	Bacillariophyceae
seq107633	Fungi	Ascomycota	Pezizomycetes
seq107638	Metazoa	Annelida	Polychaeta
seq10766	Chromista	Ciliophora	Oligohymenophorea
seq107697	Plantae	NA	Glaucocystophyceae
seq107729	Chromista	Myzozoa	Dinophyceae
seq107753	Chromista	Cercozoa	Thecofilosea
seq107767	Metazoa	Arthropoda	Hexanauplia
seq1078	Metazoa	Bryozoa	Gymnolaemata
seq10783	Chromista	Bacillariophyta	Coscinodiscophyceae
seq10787	Chromista	Cercozoa	Imbricatea
seq1079	Metazoa	Nematoda	Enoplea
seq107910	Chromista	Myzozoa	Dinophyceae
seq10794	Chromista	Ciliophora	Oligohymenophorea
seq107942	Metazoa	Arthropoda	Hexanauplia
seq10795	Metazoa	Nematoda	Chromadorea
seq108	Metazoa	Chordata	Ascidiacea
seq108011	Chromista	Ciliophora	Spirotrichea
seq108017	Chromista	Cryptophyta	Cryptophyceae
seq10804	Metazoa	Rotifera	Eurotatoria
seq10807	Metazoa	Nematoda	Chromadorea
seq1081	Protozoa	NA	Choanoflagellata
seq10810	Metazoa	Nematoda	Chromadorea
seq10818	Chromista	Bacillariophyta	Mediophyceae
seq10819	Chromista	NA	Bigyra
seq10823	Chromista	NA	Bigyra
seq10824	Chromista	Ciliophora	Litostomatea
seq10827	Chromista	Bacillariophyta	Fragilariophyceae
seq10829	Chromista	Ciliophora	Litostomatea
seq108294	Chromista	Myzozoa	Dinophyceae
seq1083	Metazoa	Platyhelminthes	Rhabditophora
seq10830	Chromista	Ciliophora	Spirotrichea
seq108304	Chromista	Myzozoa	Dinophyceae
seq108359	Chromista	Ciliophora	Litostomatea
seq108371	Metazoa	Platyhelminthes	Rhabditophora
seq10839	Chromista	Myzozoa	Dinophyceae
seq10846	Chromista	Ciliophora	Oligohymenophorea
seq108478	Fungi	Chytridiomycota	Chytridiomycetes
seq108514	Metazoa	Nematoda	Chromadorea
seq1086	Protozoa	NA	Choanoflagellata
seq108603	Chromista	Ciliophora	Litostomatea
seq108629	Chromista	Cercozoa	Imbricatea
seq10864	Metazoa	Nematoda	Chromadorea
seq10867	Plantae	Streptophyta	Zygnemophyceae
seq108677	Chromista	NA	Bigyra
seq10870	Chromista	Bacillariophyta	Bacillariophyceae
seq10872	Chromista	Ciliophora	Litostomatea
seq10876	Chromista	Myzozoa	Dinophyceae
seq10879	Metazoa	Nematoda	Chromadorea
seq10880	Metazoa	Nematoda	Chromadorea
seq108839	Chromista	Endomyxa	Phytomyxea
seq108845	Chromista	Cercozoa	Thecofilosea
seq10886	Plantae	Rhodophyta	Florideophyceae
seq10888	Chromista	Ciliophora	Oligohymenophorea
seq10896	Chromista	Ochrophyta	Raphidophyceae
seq109	Metazoa	Mollusca	Bivalvia
seq10901	Chromista	Ciliophora	Litostomatea
seq10906	Metazoa	Arthropoda	Hexanauplia
seq109085	Metazoa	Nematoda	Chromadorea
seq10909	Plantae	Chlorophyta	Chlorophyceae
seq109093	Chromista	Ciliophora	Spirotrichea
seq1091	Chromista	Ciliophora	Spirotrichea
seq109105	Metazoa	Arthropoda	Hexanauplia
seq10912	Chromista	Ciliophora	Spirotrichea
seq10926	Metazoa	Arthropoda	Hexanauplia
seq10929	Plantae	Streptophyta	Zygnemophyceae
seq10934	Chromista	Myzozoa	Dinophyceae
seq10936	Chromista	NA	Bigyra
seq109416	Plantae	Rhodelphidia	Rhodelphea
seq10942	Metazoa	Porifera	Calcarea
seq10948	Chromista	Ciliophora	Oligohymenophorea
seq10951	Chromista	Myzozoa	Dinophyceae
seq10955	Metazoa	Platyhelminthes	Rhabditophora
seq10959	Chromista	Cercozoa	Imbricatea
seq10963	Chromista	Myzozoa	Dinophyceae
seq109677	Chromista	Bacillariophyta	Bacillariophyceae
seq10969	Chromista	Ciliophora	Spirotrichea
seq109709	Chromista	Ciliophora	Karyorelictea
seq10972	Chromista	Heliozoa	Centroplasthelida
seq10975	Chromista	Bacillariophyta	Bacillariophyceae
seq109780	Chromista	Ciliophora	Armophorea
seq1098	Protozoa	NA	Choanoflagellata
seq1099	Chromista	Myzozoa	Dinophyceae
seq109932	Metazoa	Nematoda	Chromadorea
seq10998	Chromista	Endomyxa	Ascetosporea
seq11	Metazoa	Nematoda	Enoplea
seq110	Metazoa	Mollusca	Bivalvia
seq1100	Chromista	Ciliophora	Oligohymenophorea
seq110113	Metazoa	Arthropoda	Arachnida
seq11014	Chromista	Ciliophora	Litostomatea
seq11015	Chromista	NA	Bigyra
seq110197	Protozoa	Choanozoa	Ichthyosporea
seq1102	Chromista	Cercozoa	Imbricatea
seq11024	Chromista	Cercozoa	Thecofilosea
seq110269	Metazoa	Arthropoda	Insecta
seq110276	Metazoa	Porifera	Demospongiae
seq110303	Protozoa	NA	Choanoflagellata
