phylum	class
seq44856	NA	Bigyra
seq44876	Ciliophora	Spirotrichea
seq44883	NA	Dinophyceae
seq449	Chlorophyta	Mamiellophyceae
seq44904	Ciliophora	Litostomatea
seq44905	Nematoda	Chromadorea
seq44909	Platyhelminthes	Rhabditophora
seq4491	NA	Bigyra
seq4492	Platyhelminthes	Rhabditophora
seq4493	Nematoda	Enoplea
seq44935	Chytridiomycota	Chytridiomycetes
seq44936	NA	Chrysophyceae
seq4495	Ciliophora	Spirotrichea
seq44958	Bacillariophyta	Coscinodiscophyceae
seq4497	Ciliophora	Spirotrichea
seq44981	Bacillariophyta	Mediophyceae
seq4499	NA	Dinophyceae
seq44996	NA	Dinophyceae
seq45011	NA	Dinophyceae
seq45015	Basidiomycota	Agaricomycetes
seq45024	NA	Chrysophyceae
seq45026	NA	Bigyra
seq45028	NA	Dinophyceae
seq4503	Annelida	Polychaeta
seq45086	Ciliophora	Spirotrichea
seq45087	Nematoda	Chromadorea
seq45103	NA	Bigyra
seq4511	Ciliophora	Spirotrichea
seq45114	NA	Bigyra
seq4512	Platyhelminthes	Rhabditophora
seq45143	Ciliophora	Oligohymenophorea
seq4515	Platyhelminthes	Rhabditophora
seq45169	Ciliophora	Prostomatea
seq4517	Cnidaria	Staurozoa
seq45178	Nematoda	Chromadorea
seq45180	Ascomycota	Pezizomycetes
seq4519	Arthropoda	Hexanauplia
seq45194	NA	Dinophyceae
seq45198	Ciliophora	Spirotrichea
seq4523	Platyhelminthes	Rhabditophora
seq45248	NA	Dinophyceae
seq4525	Ciliophora	Oligohymenophorea
seq45253	NA	Dinophyceae
seq4526	Ciliophora	Oligohymenophorea
seq4527	Chlorophyta	Pyramimonadophyceae
seq45271	Ciliophora	Prostomatea
seq45273	Ciliophora	Oligohymenophorea
seq45277	NA	Dinophyceae
seq4528	Ciliophora	Spirotrichea
seq45290	Ciliophora	Colpodea
seq45299	NA	Dinophyceae
seq45308	NA	Bigyra
seq45322	NA	Dinophyceae
seq45340	Ciliophora	Oligohymenophorea
seq45343	Ascomycota	Sordariomycetes
seq4535	Basidiomycota	Agaricomycetes
seq45364	Evosea	Variosea
seq4537	NA	Chrysophyceae
seq45383	Apicomplexa	Marosporida
seq4539	NA	Bigyra
seq454	Annelida	Polychaeta
seq45401	NA	Dinophyceae
seq45406	NA	Phaeophyceae
seq4541	Bacillariophyta	Coscinodiscophyceae
seq4542	Ciliophora	Prostomatea
seq45438	NA	Dinophyceae
seq4544	Ciliophora	Spirotrichea
seq45441	Endomyxa	Phytomyxea
seq4545	Platyhelminthes	Rhabditophora
seq45452	Ciliophora	Odontostomatea
seq45460	Arthropoda	Malacostraca
seq45470	NA	Bigyra
seq45495	NA	Dinophyceae
seq45500	Nematoda	Chromadorea
seq45502	NA	Dinophyceae
seq45514	Chlorophyta	Pyramimonadophyceae
seq45522	Platyhelminthes	Rhabditophora
seq45524	NA	Dinophyceae
seq45528	NA	Eustigmatophyceae
seq45530	Platyhelminthes	Rhabditophora
seq45535	Nematoda	Chromadorea
seq45537	Cercozoa	Chlorarachniophyceae
seq4554	NA	Dinophyceae
seq45547	Nematoda	Chromadorea
seq45555	NA	Ichthyosporea
seq4557	Cercozoa	Imbricatea
seq45576	Ciliophora	Spirotrichea
seq45586	Ciliophora	Spirotrichea
seq4560	Chordata	Actinopteri
seq45631	NA	Dinophyceae
seq45639	NA	Bigyra
seq45648	NA	Bigyra
seq4565	Ciliophora	Heterotrichea
seq4567	Nematoda	Enoplea
seq45692	Nematoda	Chromadorea
seq45693	Chytridiomycota	Chytridiomycetes
seq457	Bacillariophyta	Bacillariophyceae
seq4573	Nematoda	Chromadorea
seq45732	Apicomplexa	Conoidasida
seq45736	Ciliophora	Colpodea
seq4574	Ciliophora	Spirotrichea
seq4575	NA	Choanoflagellata
seq45750	Annelida	Polychaeta
seq45752	NA	Dictyochophyceae
seq45753	NA	Dinophyceae
seq4576	Bacillariophyta	Fragilariophyceae
seq45761	Bacillariophyta	Coscinodiscophyceae
seq45790	Ciliophora	Plagiopylea
seq45800	Ciliophora	Oligohymenophorea
seq45837	NA	Dinophyceae
seq45856	Basidiomycota	Ustilaginomycetes
seq4586	NA	Cryptophyceae
seq45864	Chlorophyta	Ulvophyceae
seq4587	Nematoda	Chromadorea
seq45875	NA	Bigyra
seq45877	NA	Dinophyceae
seq4588	Cnidaria	Hydrozoa
seq45888	NA	Bigyra
seq4589	NA	Choanoflagellata
seq4590	Streptophyta	Magnoliopsida
seq45905	NA	Dinophyceae
seq45916	NA	Dinophyceae
seq45918	NA	Bigyra
seq45928	Apicomplexa	Conoidasida
seq4598	Bacillariophyta	Fragilariophyceae
seq4599	Ciliophora	Litostomatea
seq46	Bacillariophyta	Bacillariophyceae
seq46006	NA	Dinophyceae
seq4601	Basidiomycota	Exobasidiomycetes
seq46014	Nematoda	Chromadorea
seq46015	Bacillariophyta	Fragilariophyceae
seq46016	Ciliophora	Spirotrichea
seq4602	Ciliophora	Oligohymenophorea
seq46036	Ciliophora	Oligohymenophorea
seq46037	NA	Dinophyceae
seq4604	Ciliophora	Spirotrichea
seq46040	NA	Dinophyceae
seq46048	Bacillariophyta	Coscinodiscophyceae
seq4605	NA	Dinophyceae
seq46055	Bacillariophyta	Coscinodiscophyceae
seq4606	Nematoda	Enoplea
seq4607	Ciliophora	Prostomatea
seq46074	Mollusca	Bivalvia
seq46098	Nematoda	Chromadorea
seq46099	Bacillariophyta	Bacillariophyceae
seq46103	Chlorophyta	Pyramimonadophyceae
seq4612	Rhodophyta	Florideophyceae
seq46122	Chytridiomycota	Chytridiomycetes
seq46129	Ciliophora	Litostomatea
seq4613	Rotifera	Eurotatoria
seq46132	NA	Dinophyceae
seq46137	Endomyxa	Ascetosporea
seq4614	NA	Dinophyceae
seq46144	Ciliophora	Oligohymenophorea
seq4615	Cercozoa	Imbricatea
seq4616	NA	Cryptophyceae
seq4617	Nematoda	Enoplea
seq4618	Arthropoda	Hexanauplia
seq46204	Ciliophora	Oligohymenophorea
seq46205	Ciliophora	Litostomatea
seq46207	Chytridiomycota	Chytridiomycetes
seq46231	Ciliophora	Oligohymenophorea
seq46234	Ciliophora	Oligohymenophorea
seq4624	NA	Dinophyceae
seq46247	Ascomycota	Lichinomycetes
seq4625	NA	Cryptophyceae
seq46258	NA	Dinophyceae
seq46259	Nematoda	Enoplea
seq46269	NA	Cryptophyceae
seq4627	Nematoda	Chromadorea
seq46273	NA	Dinophyceae
seq46288	NA	Bigyra
seq4630	Chordata	Actinopteri
seq4634	Platyhelminthes	Trematoda
seq46341	Ascomycota	Arthoniomycetes
seq4636	Cercozoa	Imbricatea
seq46362	NA	Breviatea
seq46383	Tubulinea	Elardia
seq46385	Ciliophora	Oligohymenophorea
seq4639	Basidiomycota	Exobasidiomycetes
seq46399	Chytridiomycota	Chytridiomycetes
seq464	Cnidaria	Hydrozoa
seq46402	Ciliophora	Spirotrichea
seq46409	NA	Bigyra
seq4642	Ciliophora	Heterotrichea
seq46431	Ciliophora	Litostomatea
seq46432	NA	Bigyra
seq46445	Ciliophora	Spirotrichea
seq4647	Bacillariophyta	Bacillariophyceae
seq465	Nematoda	Chromadorea
seq4650	Bacillariophyta	Coscinodiscophyceae
seq46502	NA	Bigyra
seq4651	Ciliophora	Oligohymenophorea
seq46511	Ciliophora	Oligohymenophorea
seq4652	NA	Chrysophyceae
seq4654	Endomyxa	Ascetosporea
seq46550	NA	Dinophyceae
seq4657	NA	Cryptophyceae
seq4659	Basidiomycota	Agaricomycetes
seq46592	Ciliophora	Oligohymenophorea
seq466	Nematoda	Chromadorea
seq46601	Ciliophora	Spirotrichea
seq4662	NA	Dinophyceae
seq46640	NA	Dinophyceae
seq46650	NA	Breviatea
seq46653	Nematoda	Enoplea
seq46656	Nematoda	Enoplea
seq46684	Rotifera	Eurotatoria
seq4669	Ciliophora	Oligohymenophorea
seq46707	Ciliophora	Spirotrichea
seq4671	Ciliophora	Spirotrichea
seq4672	Mollusca	Gastropoda
seq46724	Ciliophora	Litostomatea
seq46727	Mollusca	Bivalvia
seq46758	Ciliophora	Oligohymenophorea
seq4676	NA	Dinophyceae
seq4677	Bacillariophyta	Bacillariophyceae
seq46771	Apicomplexa	Conoidasida
seq46785	Apicomplexa	Conoidasida
seq46788	Apicomplexa	Conoidasida
seq46796	NA	Bigyra
seq4680	NA	Dinophyceae
seq46844	Ciliophora	Karyorelictea
seq4685	Arthropoda	Hexanauplia
seq46859	Ciliophora	Litostomatea
seq46867	Cnidaria	Staurozoa
seq46878	Ciliophora	Spirotrichea
seq4689	Endomyxa	Ascetosporea
seq46891	NA	Cryptophyceae
seq469	Annelida	Polychaeta
seq46901	Ascomycota	Arthoniomycetes
seq46909	Ciliophora	Litostomatea
seq46925	NA	Bigyra
seq46957	Ciliophora	Spirotrichea
seq46969	NA	Cryptophyceae
seq4697	NA	Dinophyceae
seq46974	Blastocladiomycota	Blastocladiomycetes
seq4698	Rhodophyta	Florideophyceae
seq46985	Ciliophora	Spirotrichea
seq46986	Bacillariophyta	Mediophyceae
seq470	Chlorophyta	Mamiellophyceae
seq4703	Platyhelminthes	Rhabditophora
seq47035	NA	Dinophyceae
seq4704	Ciliophora	Litostomatea
seq47095	NA	Chrysophyceae
seq47111	NA	Bigyra
seq47112	NA	Cryptophyceae
seq47116	NA	Dinophyceae
seq4712	NA	Dinophyceae
seq47122	Ciliophora	Oligohymenophorea
seq47133	NA	Dinophyceae
seq4714	Platyhelminthes	Rhabditophora
seq4715	Cercozoa	Imbricatea
seq47165	NA	Dinophyceae
seq47175	Cercozoa	Imbricatea
seq47181	Cercozoa	Imbricatea
seq47193	NA	Dinophyceae
seq4720	NA	Dinophyceae
seq47205	Platyhelminthes	Rhabditophora
seq47224	Ciliophora	Spirotrichea
seq4723	Arthropoda	Hexanauplia
seq47233	Streptophyta	Magnoliopsida
seq47263	Ciliophora	Oligohymenophorea
seq4727	Platyhelminthes	Rhabditophora
seq47275	Ciliophora	Heterotrichea
seq47296	Ciliophora	Spirotrichea
seq473	Annelida	Polychaeta
seq47308	Bacillariophyta	Coscinodiscophyceae
seq4732	Nematoda	Enoplea
seq47340	Ciliophora	Litostomatea
seq47342	NA	Dinophyceae
seq47376	Ciliophora	Armophorea
seq47379	Ciliophora	Litostomatea
seq4738	Bacillariophyta	Coscinodiscophyceae
seq4739	NA	Breviatea
seq47397	Ciliophora	Litostomatea
seq47398	Ciliophora	Litostomatea
seq47412	NA	Dinophyceae
seq47425	Ciliophora	Litostomatea
seq4744	NA	Choanoflagellata
seq4745	Ciliophora	Spirotrichea
seq4747	Streptophyta	Magnoliopsida
seq47470	NA	Dinophyceae
seq47474	Endomyxa	Ascetosporea
seq4749	Nematoda	Chromadorea
seq47493	Ciliophora	Oligohymenophorea
seq47502	Ascomycota	Pezizomycetes
seq47510	NA	Bigyra
seq47526	NA	Dinophyceae
seq47528	Annelida	Polychaeta
seq47535	Basidiomycota	Agaricomycetes
seq47537	NA	Dinophyceae
seq4757	Chytridiomycota	Chytridiomycetes
seq47579	NA	Centroplasthelida
seq4758	Ciliophora	Karyorelictea
seq47587	Ciliophora	Karyorelictea
seq47596	Ciliophora	Litostomatea
seq47597	Ciliophora	Litostomatea
seq476	Bacillariophyta	Bacillariophyceae
seq4760	Cercozoa	Thecofilosea
seq47607	Arthropoda	Arachnida
seq47615	NA	Dinophyceae
seq47624	NA	Dinophyceae
seq47626	NA	Breviatea
seq4763	NA	Choanoflagellata
seq47637	Apicomplexa	Conoidasida
seq47647	Bacillariophyta	Fragilariophyceae
seq4765	Nematoda	Chromadorea
seq4766	Nematoda	Enoplea
seq47660	Ciliophora	Spirotrichea
seq47661	NA	Dinophyceae
seq4767	Platyhelminthes	Trematoda
seq4768	Rhodophyta	Florideophyceae
seq4771	NA	Dinophyceae
seq47710	Ciliophora	Odontostomatea
seq47727	Arthropoda	Hexanauplia
seq47743	Ciliophora	Litostomatea
seq47746	NA	Cryptophyceae
seq47752	Bacillariophyta	Bacillariophyceae
seq47758	NA	Chrysophyceae
seq47759	Rhodophyta	Florideophyceae
seq4776	Ciliophora	Litostomatea
seq4778	NA	Dinophyceae
seq47780	Basidiomycota	Tremellomycetes
seq4780	NA	Chrysophyceae
seq4781	NA	Dinophyceae
seq47815	NA	Ichthyosporea
seq47816	Ciliophora	Litostomatea
seq4782	Ciliophora	Spirotrichea
seq47857	Nematoda	Chromadorea
seq4786	NA	Dinophyceae
seq47860	Ciliophora	Spirotrichea
seq47863	Ciliophora	Litostomatea
seq47869	Ciliophora	Litostomatea
seq47872	Cercozoa	Imbricatea
seq4788	NA	Cryptophyceae
seq47884	Ciliophora	Karyorelictea
seq4789	Arthropoda	Hexanauplia
seq479	Ciliophora	Oligohymenophorea
seq4790	NA	Cryptophyceae
seq47907	Apicomplexa	Conoidasida
seq47914	NA	Dinophyceae
seq4793	NA	Dinophyceae
seq47941	NA	Dinophyceae
seq4797	Nematoda	Chromadorea
seq47985	Ciliophora	Spirotrichea
seq47990	Ciliophora	Armophorea
seq48005	Arthropoda	Malacostraca
seq48017	Mollusca	Bivalvia
seq48036	Ciliophora	Spirotrichea
seq48055	NA	Dinophyceae
seq48057	NA	Dinophyceae
seq4806	Cnidaria	Anthozoa
seq48062	Nematoda	Enoplea
seq48066	NA	Pelagophyceae
seq4807	NA	Dinophyceae
seq48097	Nematoda	Chromadorea
seq481	Ciliophora	Oligohymenophorea
seq48100	NA	Bigyra
seq48114	NA	Chrysophyceae
seq48115	NA	Dinophyceae
seq4813	NA	Breviatea
seq4815	Bacillariophyta	Coscinodiscophyceae
seq48158	Arthropoda	Hexanauplia
seq48159	Ciliophora	Litostomatea
seq48167	Bacillariophyta	Mediophyceae
seq48179	Evosea	Variosea
seq48195	Apicomplexa	Conoidasida
seq482	Cnidaria	Hydrozoa
seq48209	Bacillariophyta	Coscinodiscophyceae
seq48211	Ascomycota	Saccharomycetes
seq48216	NA	Dinophyceae
seq48222	Apicomplexa	Conoidasida
seq4823	Ciliophora	Oligohymenophorea
seq48235	Ciliophora	Spirotrichea
seq4824	Ciliophora	Karyorelictea
seq48265	NA	Dinophyceae
seq483	Ciliophora	Spirotrichea
seq4830	Ciliophora	Oligohymenophorea
seq48324	Annelida	Polychaeta
seq48325	Ciliophora	Colpodea
seq4833	NA	Dinophyceae
seq48333	Mollusca	Bivalvia
seq4835	Ciliophora	Oligohymenophorea
seq48352	Ciliophora	Spirotrichea
seq48370	NA	Dinophyceae
seq48372	Arthropoda	Arachnida
seq4838	Nematoda	Chromadorea
seq48388	NA	Dinophyceae
seq48400	Ciliophora	Litostomatea
seq48409	NA	Dinophyceae
seq48411	Ciliophora	Litostomatea
seq48423	Ciliophora	Litostomatea
seq4844	NA	Choanoflagellata
seq48454	Cnidaria	Hydrozoa
seq48461	Ciliophora	Colpodea
seq48477	NA	Chrysophyceae
seq48481	NA	Eustigmatophyceae
seq48482	Basidiomycota	Agaricomycetes
seq48484	Bacillariophyta	Coscinodiscophyceae
seq485	Nematoda	Chromadorea
seq4851	Ciliophora	Spirotrichea
seq4852	Cnidaria	Anthozoa
seq4853	Bacillariophyta	Coscinodiscophyceae
seq48577	Ciliophora	Karyorelictea
seq48587	NA	Bigyra
seq48590	NA	Bigyra
seq48606	Basidiomycota	Tremellomycetes
seq48635	Ciliophora	Litostomatea
seq4864	NA	Bigyra
seq48660	NA	Dinophyceae
seq48688	NA	Dinophyceae
seq4869	Platyhelminthes	Rhabditophora
seq4870	Bacillariophyta	Coscinodiscophyceae
seq4872	Ciliophora	Spirotrichea
seq48737	Ciliophora	Litostomatea
seq48740	NA	Dinophyceae
seq48752	Tubulinea	Elardia
seq48757	NA	Pelagophyceae
seq48765	Cercozoa	Imbricatea
seq48776	NA	Dinophyceae
seq488	Annelida	Clitellata
seq4881	Ciliophora	Oligohymenophorea
seq48819	Ciliophora	Oligohymenophorea
seq4882	Ciliophora	Spirotrichea
seq48820	Bacillariophyta	Coscinodiscophyceae
seq48837	NA	Dinophyceae
seq48838	Ciliophora	Spirotrichea
seq4884	Bacillariophyta	Coscinodiscophyceae
seq48857	Arthropoda	Arachnida
seq48875	NA	Dinophyceae
seq4888	NA	Cryptophyceae
seq48907	Cercozoa	Thecofilosea
seq48908	Ciliophora	Litostomatea
seq48910	Cercozoa	Thecofilosea
seq48930	Bacillariophyta	Coscinodiscophyceae
seq48934	NA	Dinophyceae
seq4898	Ciliophora	Oligohymenophorea
seq48986	Ciliophora	Prostomatea
seq48993	Ciliophora	Spirotrichea
seq48998	NA	Pelagophyceae
seq490	Annelida	Polychaeta
seq4900	Cercozoa	Imbricatea
seq49001	Arthropoda	Hexanauplia
seq4902	Ciliophora	Oligohymenophorea
seq4904	Ciliophora	Spirotrichea
seq49041	Bacillariophyta	Coscinodiscophyceae
seq49049	NA	Breviatea
seq49055	NA	Dinophyceae
seq49056	NA	Dinophyceae
seq49057	NA	Bigyra
seq49064	Ciliophora	Spirotrichea
seq49065	NA	Chrysophyceae
seq49072	Mollusca	Bivalvia
seq49076	Nematoda	Chromadorea
seq49106	NA	Dinophyceae
seq49141	Ciliophora	Litostomatea
seq4918	Ciliophora	Litostomatea
seq49188	NA	Centroplasthelida
seq4920	Ciliophora	Oligohymenophorea
seq4924	NA	Bigyra
seq4926	Platyhelminthes	Rhabditophora
seq49262	Nematoda	Chromadorea
seq4928	NA	Choanoflagellata
seq49283	NA	Dinophyceae
seq4929	Ciliophora	Oligohymenophorea
seq49291	Ciliophora	Prostomatea
seq49299	Chlorophyta	Trebouxiophyceae
seq49307	Ciliophora	Oligohymenophorea
seq49309	Ciliophora	Oligohymenophorea
seq49325	NA	Bigyra
seq4933	NA	Cryptophyceae
seq4935	Ciliophora	Spirotrichea
seq4936	Cercozoa	Thecofilosea
seq49390	NA	Aphelidea
seq49394	NA	Breviatea
seq494	Nematoda	Chromadorea
seq4941	Basidiomycota	Malasseziomycetes
seq49437	NA	Chrysophyceae
seq49456	Ciliophora	Karyorelictea
seq49482	Cercozoa	Imbricatea
seq4949	Bacillariophyta	Bacillariophyceae
seq49494	NA	Cryptophyceae
seq495	Bacillariophyta	Bacillariophyceae
seq4950	Arthropoda	Hexanauplia
seq49533	NA	Chrysophyceae
seq4956	Rotifera	Eurotatoria
seq49561	NA	Bigyra
seq49563	NA	Cryptophyceae
seq4957	NA	Chrysophyceae
seq4958	Platyhelminthes	Rhabditophora
seq49582	NA	Dinophyceae
seq49584	Ciliophora	Oligohymenophorea
seq49607	NA	Dinophyceae
seq49613	NA	Dinophyceae
seq49634	Ciliophora	Karyorelictea
seq49636	NA	Choanoflagellata
seq49642	Bacillariophyta	Bacillariophyceae
seq49644	Ciliophora	Litostomatea
seq49658	Apicomplexa	Conoidasida
seq4967	Ciliophora	Oligohymenophorea
seq497	NA	Chrysophyceae
seq4971	Chytridiomycota	Chytridiomycetes
seq49715	Nematoda	Chromadorea
seq49724	NA	Dinophyceae
seq49741	NA	Dinophyceae
seq49742	Ciliophora	Karyorelictea
seq49744	Arthropoda	Ostracoda
seq4976	Cercozoa	Imbricatea
seq49763	NA	Pelagophyceae
seq49775	Bacillariophyta	Mediophyceae
seq49779	NA	Bigyra
seq4978	Ciliophora	Oligohymenophorea
seq498	Chlorophyta	Ulvophyceae
seq49802	NA	Bigyra
seq49803	Bacillariophyta	Fragilariophyceae
seq49812	NA	Dinophyceae
seq49865	Cercozoa	Imbricatea
seq49869	Nematoda	Enoplea
seq4987	Ciliophora	Spirotrichea
seq4991	Mollusca	Gastropoda
seq49939	Ciliophora	Heterotrichea
seq4994	Nematoda	Chromadorea
seq49942	NA	Eustigmatophyceae
seq49943	Streptophyta	Magnoliopsida
seq4996	Platyhelminthes	Rhabditophora
seq49977	Ciliophora	Prostomatea
seq49984	Ciliophora	Spirotrichea
seq50	Arthropoda	Ostracoda
seq50011	Chlorophyta	Nephroselmidophyceae
seq50022	NA	Dinophyceae
seq50029	NA	Chrysophyceae
seq50038	Ciliophora	Litostomatea
seq5005	Cercozoa	Thecofilosea
seq50059	NA	Bigyra
seq5007	Ciliophora	Oligohymenophorea
seq5008	Basidiomycota	Tremellomycetes
seq50086	Nematoda	Chromadorea
seq501	Ciliophora	Spirotrichea
seq5011	Ciliophora	Spirotrichea
seq50148	Ciliophora	Litostomatea
seq5016	Basidiomycota	Tremellomycetes
seq5017	NA	Centroplasthelida
seq50186	NA	Bigyra
seq5019	Bacillariophyta	Bacillariophyceae
seq50197	NA	Bigyra
seq5020	Chytridiomycota	Chytridiomycetes
seq50206	Nematoda	Chromadorea
seq5022	Bacillariophyta	Bacillariophyceae
seq50224	Ciliophora	Oligohymenophorea
seq50228	Chordata	Ascidiacea
seq5024	Ciliophora	Oligohymenophorea
seq5026	NA	Bigyra
seq5027	Chlorophyta	Pyramimonadophyceae
seq50272	Chlorophyta	Ulvophyceae
seq5028	Ciliophora	Oligohymenophorea
seq5029	Nematoda	Chromadorea
seq50299	NA	Dinophyceae
seq503	Echinodermata	Echinoidea
seq5030	Ciliophora	Oligohymenophorea
seq50310	NA	Dinophyceae
seq50317	NA	Developea
seq5033	NA	Centroplasthelida
seq5034	Bacillariophyta	Coscinodiscophyceae
seq50354	NA	Dinophyceae
seq50356	NA	Breviatea
seq5036	Ciliophora	Heterotrichea
seq5037	Platyhelminthes	Rhabditophora
seq5039	NA	Bigyra
seq50392	Ciliophora	Colpodea
seq5040	Bacillariophyta	Coscinodiscophyceae
seq50410	NA	Bigyra
seq50420	Endomyxa	Ascetosporea
seq50421	Ciliophora	Spirotrichea
seq50431	Ciliophora	Oligohymenophorea
seq50437	NA	Dinophyceae
seq50488	Chytridiomycota	Chytridiomycetes
seq50492	NA	Bigyra
seq50496	Nematoda	Chromadorea
seq5051	NA	Dinophyceae
seq50514	NA	Dinophyceae
seq5053	NA	Bigyra
seq5056	Rhodophyta	Florideophyceae
seq50562	Chytridiomycota	Chytridiomycetes
seq50566	NA	Dinophyceae
seq5057	Chordata	Ascidiacea
seq50570	Cnidaria	Anthozoa
seq50571	NA	Dinophyceae
seq5059	Ciliophora	Oligohymenophorea
seq506	NA	Chrysophyceae
seq5063	Ciliophora	Oligohymenophorea
seq50643	Ciliophora	Oligohymenophorea
seq50657	Ciliophora	Litostomatea
seq50662	Cercozoa	Imbricatea
seq50673	Cercozoa	Imbricatea
seq50682	Endomyxa	Phytomyxea
seq50695	Chytridiomycota	Chytridiomycetes
seq50698	Ciliophora	Litostomatea
seq50699	Cercozoa	Imbricatea
seq507	Platyhelminthes	Rhabditophora
seq50705	Apicomplexa	Conoidasida
seq50706	Ciliophora	Spirotrichea
seq50712	NA	Dinophyceae
seq50743	NA	Developea
seq5075	Endomyxa	Ascetosporea
seq50756	NA	Dinophyceae
seq5076	Ciliophora	Oligohymenophorea
seq50770	Arthropoda	Arachnida
seq50776	Bacillariophyta	Bacillariophyceae
seq508	Echinodermata	Echinoidea
seq50802	Ciliophora	Litostomatea
seq5081	Cercozoa	Thecofilosea
seq50814	Ciliophora	Spirotrichea
seq50828	Ciliophora	Litostomatea
seq50839	NA	Bigyra
seq50844	Chytridiomycota	Chytridiomycetes
seq50846	Ciliophora	Oligohymenophorea
seq5085	Ciliophora	Oligohymenophorea
seq50861	Bacillariophyta	Coscinodiscophyceae
seq5088	Chytridiomycota	Chytridiomycetes
seq50881	NA	Dinophyceae
seq50889	Ciliophora	Oligohymenophorea
seq5090	Nematoda	Enoplea
seq50902	NA	Dinophyceae
seq50917	Nematoda	Chromadorea
seq50923	NA	Dinophyceae
seq50930	Ciliophora	Litostomatea
seq5095	Platyhelminthes	Rhabditophora
seq50959	Arthropoda	Hexanauplia
seq50975	NA	Dinophyceae
seq5098	Ciliophora	Oligohymenophorea
seq50987	Ciliophora	Nassophorea
seq51	Bacillariophyta	Bacillariophyceae
seq51004	Ciliophora	Oligohymenophorea
seq51008	Ciliophora	Litostomatea
seq51019	Bacillariophyta	Coscinodiscophyceae
seq51021	Nematoda	Chromadorea
seq51036	NA	Ichthyosporea
seq51039	Ciliophora	Oligohymenophorea
seq51041	NA	Dinophyceae
seq51050	Bacillariophyta	Bacillariophyceae
seq51054	Chlorophyta	Ulvophyceae
seq51083	Cercozoa	Chlorarachniophyceae
seq51087	Ciliophora	Litostomatea
seq51090	Discosea	Flabellinia
seq51091	Bacillariophyta	Bacillariophyceae
seq5110	Ciliophora	Spirotrichea
seq5111	NA	Cryptophyceae
seq51114	NA	Bigyra
seq5112	NA	Chrysophyceae
seq51124	NA	Dinophyceae
seq5117	Cnidaria	Hydrozoa
seq512	Basidiomycota	Malasseziomycetes
seq5120	Annelida	Polychaeta
seq51213	Ciliophora	Litostomatea
seq51224	Ciliophora	Litostomatea
seq51225	Bacillariophyta	Mediophyceae
seq51226	NA	Centroplasthelida
seq51245	Bacillariophyta	Fragilariophyceae
seq51249	Tubulinea	Elardia
seq51260	Bacillariophyta	Bacillariophyceae
seq51266	NA	Breviatea
seq51270	Ciliophora	Oligohymenophorea
seq51272	Ascomycota	Saccharomycetes
seq51277	Tubulinea	Elardia
seq5128	Arthropoda	Hexanauplia
seq51280	NA	Bigyra
seq51284	Arthropoda	Malacostraca
seq513	Nematoda	Chromadorea
seq51301	Nematoda	Chromadorea
seq51303	Basidiomycota	Agaricomycetes
seq51305	Chytridiomycota	Chytridiomycetes
seq5131	Nematoda	Chromadorea
seq51326	NA	Dinophyceae
seq5134	Ciliophora	Oligohymenophorea
seq5135	Chlorophyta	Pyramimonadophyceae
seq51377	NA	Dinophyceae
seq51385	Ciliophora	Karyorelictea
seq5139	Ciliophora	Spirotrichea
seq51394	Ciliophora	Litostomatea
seq51403	Tubulinea	Elardia
seq51405	Ciliophora	Oligohymenophorea
seq51407	Ciliophora	Litostomatea
seq5141	Cnidaria	Hydrozoa
seq51418	NA	Pelagophyceae
seq51429	Ciliophora	Nassophorea
seq51433	NA	Dinophyceae
seq5144	Ciliophora	Oligohymenophorea
seq51481	NA	Dinophyceae
seq5149	Ciliophora	Karyorelictea
seq51491	NA	Chrysophyceae
seq51495	NA	Dinophyceae
seq515	Chlorophyta	Ulvophyceae
seq5150	Bacillariophyta	Bacillariophyceae
seq51532	Ciliophora	Odontostomatea
seq51542	Cercozoa	Imbricatea
seq51548	Ciliophora	Karyorelictea
seq5155	NA	Dinophyceae
seq51556	Acanthocephala	Palaeacanthocephala
seq5156	Platyhelminthes	Rhabditophora
seq51565	Bacillariophyta	Coscinodiscophyceae
seq51566	Ascomycota	Dothideomycetes
seq51567	Ascomycota	Saccharomycetes
seq51568	Bacillariophyta	Bacillariophyceae
seq51593	Endomyxa	Ascetosporea
seq51601	NA	Bigyra
seq5165	Ciliophora	Spirotrichea
seq51655	Arthropoda	Ostracoda
seq5168	Ciliophora	Oligohymenophorea
seq5169	Rhodophyta	Florideophyceae
seq51706	Chytridiomycota	Chytridiomycetes
seq51709	NA	Dinophyceae
seq51713	Basidiomycota	Ustilaginomycetes
seq5172	Basidiomycota	Cystobasidiomycetes
seq51724	Nematoda	Chromadorea
seq51726	Cercozoa	Imbricatea
seq51727	NA	Bigyra
seq51743	NA	Bigyra
seq51750	Ciliophora	Spirotrichea
seq5176	NA	Centroplasthelida
seq5177	Nematoda	Chromadorea
seq5178	Cercozoa	Thecofilosea
seq51788	NA	Dinophyceae
seq51789	Ciliophora	Spirotrichea
seq51843	Nematoda	Chromadorea
seq51848	Ascomycota	Laboulbeniomycetes
seq51852	Ciliophora	Plagiopylea
seq51861	Chlorophyta	Ulvophyceae
seq51866	NA	Bigyra
seq51868	Platyhelminthes	Rhabditophora
seq51872	Ascomycota	Laboulbeniomycetes
seq5188	Ciliophora	Spirotrichea
seq51880	Mollusca	Bivalvia
seq5189	Nematoda	Enoplea
seq5190	Cercozoa	Imbricatea
