phylum	class
seq11290	NA	Cryptophyceae
seq112954	Ciliophora	Litostomatea
seq11297	Ciliophora	Litostomatea
seq113	Nematoda	Chromadorea
seq1130	Nematoda	Chromadorea
seq11305	NA	Dinophyceae
seq113072	Basidiomycota	Agaricomycetes
seq11308	Rhodophyta	Florideophyceae
seq113124	NA	Bigyra
seq11315	Ciliophora	Karyorelictea
seq11316	Ciliophora	Litostomatea
seq11320	Cercozoa	Imbricatea
seq11328	NA	Breviatea
seq1133	Ciliophora	Spirotrichea
seq113306	Cercozoa	Imbricatea
seq113346	Platyhelminthes	Rhabditophora
seq113357	NA	Dinophyceae
seq11342	Bacillariophyta	Bacillariophyceae
seq113438	NA	Ichthyosporea
seq113466	NA	Ichthyosporea
seq113469	Bacillariophyta	Bacillariophyceae
seq11348	Chytridiomycota	Chytridiomycetes
seq11349	Chytridiomycota	Chytridiomycetes
seq11352	Endomyxa	Ascetosporea
seq113626	NA	Dinophyceae
seq113629	NA	Dinophyceae
seq11368	NA	Dinophyceae
seq11373	Cercozoa	Imbricatea
seq1138	Nematoda	Chromadorea
seq113832	NA	Bigyra
seq11384	Annelida	Clitellata
seq1139	Platyhelminthes	Rhabditophora
seq11395	Arthropoda	Hexanauplia
seq11399	Cercozoa	Imbricatea
seq113998	Mollusca	Gastropoda
seq114	Annelida	Polychaeta
seq1140	Ciliophora	Spirotrichea
seq11407	Nematoda	Enoplea
seq11408	Ciliophora	Litostomatea
seq11409	Prasinodermophyta	Prasinodermophyceae
seq11412	Ciliophora	Plagiopylea
seq11414	Bacillariophyta	Bacillariophyceae
seq11417	Ciliophora	Spirotrichea
seq11420	Ciliophora	Spirotrichea
seq11425	Nematoda	Chromadorea
seq11427	Ciliophora	Spirotrichea
seq11431	Chytridiomycota	Chytridiomycetes
seq1144	NA	Olisthodiscophyceae
seq11440	Ciliophora	Colpodea
seq11444	NA	Dinophyceae
seq11448	Nematoda	Chromadorea
seq1145	Chlorophyta	Pyramimonadophyceae
seq11455	Chytridiomycota	Chytridiomycetes
seq114553	Apicomplexa	Conoidasida
seq11458	Chytridiomycota	Chytridiomycetes
seq114697	Bacillariophyta	Bacillariophyceae
seq114817	Chlorophyta	Chlorophyceae
seq11484	NA	Cryptophyceae
seq11486	Ciliophora	Spirotrichea
seq1149	Nematoda	Chromadorea
seq11490	NA	Bigyra
seq115	Nematoda	Chromadorea
seq1150	Chlorophyta	Pyramimonadophyceae
seq115037	Arthropoda	Arachnida
seq115049	Cercozoa	Imbricatea
seq11513	Ciliophora	Plagiopylea
seq115205	NA	Dinophyceae
seq11521	NA	Cryptophyceae
seq11530	NA	Bigyra
seq115313	Chlorophyta	Nephroselmidophyceae
seq11539	Ciliophora	Karyorelictea
seq1154	Annelida	Polychaeta
seq11541	Ciliophora	Litostomatea
seq11558	Ciliophora	Spirotrichea
seq11562	Ciliophora	Litostomatea
seq11566	Ciliophora	Spirotrichea
seq11571	Chytridiomycota	Chytridiomycetes
seq115729	Apicomplexa	Conoidasida
seq11579	NA	Dinophyceae
seq115812	Ciliophora	Colpodea
seq115816	NA	Dinophyceae
seq11583	NA	Bigyra
seq115873	NA	Bigyra
seq115939	Ascomycota	Sordariomycetes
seq11598	NA	Choanoflagellata
seq115986	Ciliophora	Oligohymenophorea
seq116	Nematoda	Chromadorea
seq1160	Chytridiomycota	Chytridiomycetes
seq11600	NA	Phaeosacciophyceae
seq116027	Chlorophyta	Ulvophyceae
seq1161	Platyhelminthes	Rhabditophora
seq11619	NA	Dinophyceae
seq11621	Bacillariophyta	Bacillariophyceae
seq11622	Endomyxa	Ascetosporea
seq11623	Ciliophora	Oligohymenophorea
seq11629	Rhodophyta	Florideophyceae
seq11635	Platyhelminthes	Trematoda
seq11636	Nematoda	Chromadorea
seq116366	Mollusca	Bivalvia
seq11637	Ciliophora	Litostomatea
seq1164	Arthropoda	Hexanauplia
seq11641	Streptophyta	Magnoliopsida
seq11644	Ciliophora	Heterotrichea
seq11646	NA	Dinophyceae
seq11647	Arthropoda	Hexanauplia
seq116509	Endomyxa	Phytomyxea
seq11651	Ciliophora	Litostomatea
seq1166	Ciliophora	Spirotrichea
seq116699	Ascomycota	Saccharomycetes
seq11671	Arthropoda	Hexanauplia
seq1168	Cercozoa	Imbricatea
seq11681	Ciliophora	Plagiopylea
seq116867	Arthropoda	Arachnida
seq11689	NA	Cryptophyceae
seq116915	Ciliophora	Oligohymenophorea
seq11694	NA	Dinophyceae
seq11695	Ciliophora	Heterotrichea
seq11697	Bacillariophyta	Coscinodiscophyceae
seq11703	NA	Dinophyceae
seq11711	Nemertea	Palaeonemertea
seq117115	Bacillariophyta	Coscinodiscophyceae
seq11712	NA	Bigyra
seq11715	Platyhelminthes	Trematoda
seq117236	Platyhelminthes	Rhabditophora
seq11727	Cercozoa	Thecofilosea
seq11729	NA	Cryptophyceae
seq1173	Ciliophora	Spirotrichea
seq11730	Cercozoa	Imbricatea
seq11736	Cercozoa	Imbricatea
seq1174	Cercozoa	Imbricatea
seq11740	NA	Choanoflagellata
seq1177	Nematoda	Chromadorea
seq11770	NA	Choanoflagellata
seq11772	Ciliophora	Prostomatea
seq11773	Ciliophora	Spirotrichea
seq1178	Arthropoda	Hexanauplia
seq117867	Ciliophora	Spirotrichea
seq11788	NA	Dinophyceae
seq11789	Bacillariophyta	Coscinodiscophyceae
seq1179	Cercozoa	Imbricatea
seq11792	Cercozoa	Thecofilosea
seq117943	Ciliophora	Armophorea
seq117944	Ciliophora	Litostomatea
seq11795	Cercozoa	Thecofilosea
seq11796	Cercozoa	Imbricatea
seq1180	Ciliophora	Spirotrichea
seq11807	Mollusca	Bivalvia
seq11810	Cercozoa	Imbricatea
seq11815	Ciliophora	Litostomatea
seq11816	NA	Dinophyceae
seq1182	Arthropoda	Hexanauplia
seq11823	Cercozoa	Thecofilosea
seq118273	NA	Bigyra
seq1183	Arthropoda	Hexanauplia
seq11837	Ciliophora	Prostomatea
seq11838	NA	Bigyra
seq1184	Nematoda	Enoplea
seq11841	Ciliophora	Spirotrichea
seq11842	Ciliophora	Colpodea
seq11849	NA	Cryptophyceae
seq1185	NA	Dinophyceae
seq11850	NA	Breviatea
seq11851	Arthropoda	Malacostraca
seq11852	Ciliophora	Spirotrichea
seq118555	Platyhelminthes	Monogenea
seq11856	Platyhelminthes	Trematoda
seq11861	NA	Dinophyceae
seq118661	Basidiomycota	Agaricomycetes
seq11872	NA	Bigyra
seq11880	Cercozoa	Thecofilosea
seq118822	Endomyxa	Ascetosporea
seq11883	Arthropoda	Malacostraca
seq11889	Ciliophora	Litostomatea
seq1189	Nematoda	Chromadorea
seq119	Annelida	Polychaeta
seq1190	Platyhelminthes	Rhabditophora
seq11903	Platyhelminthes	Rhabditophora
seq11905	Ciliophora	Litostomatea
seq11909	NA	Dinophyceae
seq1191	Streptophyta	Charophyceae
seq11910	Streptophyta	Magnoliopsida
seq11911	Chytridiomycota	Chytridiomycetes
seq11915	Ciliophora	Oligohymenophorea
seq1192	Annelida	Polychaeta
seq11925	Cercozoa	Chlorarachniophyceae
seq1193	Cercozoa	Imbricatea
seq11931	Platyhelminthes	Rhabditophora
seq11933	Ciliophora	Prostomatea
seq11934	Ciliophora	Litostomatea
seq119457	Cercozoa	Thecofilosea
seq11949	Nematoda	Chromadorea
seq1195	Cnidaria	Anthozoa
seq119501	Ciliophora	Spirotrichea
seq11951	Cercozoa	Chlorarachniophyceae
seq1196	Rhodophyta	Florideophyceae
seq11963	Ciliophora	Oligohymenophorea
seq11964	NA	Cryptophyceae
seq11965	NA	Dinophyceae
seq119651	NA	Phaeophyceae
seq119652	NA	Dinophyceae
seq119653	Chlorophyta	Ulvophyceae
seq119694	Nematoda	Chromadorea
seq1197	Nematoda	Chromadorea
seq119706	Cercozoa	Imbricatea
seq119711	NA	Dinophyceae
seq11976	Platyhelminthes	Trematoda
seq11978	Cercozoa	Imbricatea
seq119818	Ciliophora	Spirotrichea
seq11982	Ciliophora	Spirotrichea
seq11983	NA	Choanoflagellata
seq11984	NA	Cryptophyceae
seq119850	Evosea	Variosea
seq119854	Arthropoda	Branchiopoda
seq119857	NA	Dinophyceae
seq11987	Ciliophora	Heterotrichea
seq1199	Nematoda	Chromadorea
seq119905	Mollusca	Bivalvia
seq11992	Chaetognatha	Sagittoidea
seq11994	NA	Dinophyceae
seq12	Arthropoda	Hexanauplia
seq1200	Bacillariophyta	Bacillariophyceae
seq12007	Ciliophora	Heterotrichea
seq120081	Mollusca	Gastropoda
seq12018	Nematoda	Chromadorea
