Sample_ID	Grain_size	Density_wet	Dry_matter_per_WW	Watercontent	Organic_content	Inorganic_content	TP
2C12SB3	1	1.80653	0.734335992	0.47993	0.010308313	0.003520069	0.677484407
2C12RB1	2	1.858375	0.812089415	0.349208333	0.007704465	0.003308	0.225549581
2C12RB2	2	1.94728	0.812697712	0.36473	0.015629715	0.016174824	0.242205851
2C12RB3	2	1.880972727	0.815622478	0.346809091	0.018525707	0.006518236	0.23287512
2C13SB1	2	1.848266667	0.795961982	0.377116667	0.010095069	0.012104544	0.674271451
2C13SB2	2	1.806236364	0.791062279	0.377390909	0.009860719	0.010977875	0.621782853
2C13SB3	2	1.836758333	0.794048391	0.378283333	0.010607402	0.01109533	0.618161691
2C13RB1	3	1.78248	0.827223868	0.30797	0.021142091	0.010735311	0.249292836
2C13RB2	3	1.81256	0.832993115	0.30271	0.008710614	0.014687078	0.197551143
2C13RB3	3	1.84054	0.83515164	0.30341	0.009048822	0.012574374	0.187780944
2C14SB1	2	1.85838	0.811050485	0.35114	0.008366494	0.00882576	0.681407825
2C14SB2	2	1.926218182	0.80709728	0.371572727	0.007937087	0.008465821	0.746398509
2C14SB3	2	1.89741	0.816249519	0.34865	0.008740214	0.00879995	0.789361909
2C14RB1	2	1.8734625	0.830614437	0.3173375	0.0104561	0.003742748	0.348452246
2C14RB2	2	2.051663636	0.815063607	0.379427273	0.005815741	0.006376534	0.313824897
2C14RB3	2	1.954890909	0.808219943	0.374909091	0.006595024	0.00890169	0.328166747
2C15SB1	2	1.83858	0.805279074	0.35801	0.009939029	0.004837288	0.319885718
2C15SB2	2	1.816690909	0.793775896	0.374645455	0.010272212	0.005033676	0.327101998
2C15SB3	2	1.81195	0.801539778	0.3596	0.006632519	0.004402775	0.282005243
2C15RB1	1	1.820527273	0.800157796	0.363818182	0.018482927	0.010366979	0.442019521
2C15RB2	1	1.846525	0.800774428	0.367875	0.018920827	0.008073697	0.468155303
2C15RB3	1	1.872381818	0.809717326	0.356281818	0.019553421	0.00851879	0.51142709
2C16SB1	2	1.861500909	0.794818551	0.381945455	0.007466739	0.00270027	0.424248585
2C16SB2	2	1.824727857	0.799684415	0.365521429	0.006884436	0.003134254	0.461717868
2C16SB3	2	1.856025455	0.797328407	0.376163636	0.006850704	0.00320511	0.42702633
2C16RB1	1	1.2818725	0.40724084	0.759841667	0.069716564	0.029704896	1.677406032
2C16RB2	1	1.492905455	0.411751094	0.8782	0.092783442	0.02076448	2.015210474
2C16RB3	1	1.692371818	0.67588253	0.548527273	0.030394782	0.009819094	0.766129449
2C16EB1	2	1.823882727	0.816749582	0.334227273	0.004012556	0.002330607	0.475754415
2C16EB2	2	1.838743	0.812023758	0.34564	0.004177425	0.002760883	0.534601071
2C16EB3	2	1.788476	0.818213943	0.32512	0.006466457	0.005291041	0.567861619
2C17SB1	1	1.919384545	0.822888303	0.339945455	0.01377155	0.005045347	0.353685346
2C17SB2	1	1.931248182	0.829417904	0.329436364	0.012462195	0.004045698	0.211754378
2C17SB3	1	1.94489	0.817531162	0.354881818	0.009636415	0.003626405	0.294604049
2C17RB1	2	1.869973636	0.822365021	0.332172727	0.005811421	0.003397982	0.293264305
2C17RB2	2	1.921672308	0.842276799	0.303092308	0.00374764	0.002889172	0.208311837
2C17RB3	2	1.90616	0.836930602	0.310836364	0.004689584	0.002635403	0.235295391
2C17EB1	1	1.9102525	0.798220392	0.38545	0.006391138	0.003635847	0.219494744
2C17EB2	1	1.853200769	0.776689893	0.413838462	0.008819342	0.003508834	0.268371197
2C17EB3	1	1.839758182	0.772781403	0.418027273	0.009056335	0.003442675	0.259809376
2C18SB1	1	1.872916	0.756710926	0.45566	0.011554727	0.003327117	0.570524209
2C18SB2	1	1.819643	0.74941788	0.45597	0.010846356	0.003544813	0.507649353
2C18SB3	1	1.80519	0.758459069	0.436027273	0.01353394	0.004296711	0.584494607
2C18RB1	2	1.901593	0.814571257	0.35261	0.01029964	0.004275264	0.32129404
2C18RB2	2	1.862160833	0.816503498	0.3417	0.008255422	0.005897173	0.370394087
2C18RB3	2	1.897728	0.825738989	0.3307	0.007857712	0.004185599	0.332842107
2C19SB1	2	1.896433	0.824322821	0.33316	0.007583354	0.003476105	0.443316241
2C19SB2	2	1.83317	0.821943228	0.326408333	0.007478219	0.003377143	0.359502397
2C19SB3	2	1.815156	0.823932488	0.31959	0.008602524	0.003784732	0.542843667
2C19RB1	2	1.955987	0.801844286	0.38759	0.020591009	0.005226344	0.506725984
2C19RB2	2	1.970903636	0.821124966	0.352545455	0.013552243	0.003610622	0.577370926
2C19RB3	2	1.912527	0.827333157	0.33023	0.008424987	0.00286787	0.386110403
2C19EB1	2	1.89944	0.803115655	0.37397	0.006973203	0.002889916	0.371692089
2C19EB2	2	1.875307692	0.808306329	0.359484615	0.007891893	0.004558874	0.283023983
2C19EB3	2	1.90746	0.806905518	0.36832	0.007074616	0.003168083	0.3537756
2C20SB1	2	1.80179	0.810088856	0.34218	0.003781953	0.001437612	0.493544853
2C20SB2	2	1.91413	0.803675821	0.37579	0.003862209	0.001550926	0.516017132
2C20SB3	2	1.7384	0.804158997	0.34045	0.003855378	0.001506856	0.547986725
2C20RB1	3	1.951254545	0.850445867	0.291818182	0.007449225	0.003700516	0.434207892
2C20RB2	3	2.065990909	0.863596161	0.281809091	0.011937698	0.004420517	0.490075685
2C20RB3	3	1.91376	0.846025625	0.29467	0.009641533	0.007516628	0.496941243
2C20EB1	1	1.871563636	0.797937553	0.378172727	0.008469079	0.001800034	0.677835322
2C20EB2	1	2.02626	0.874364593	0.25457	0.010136303	0.016148205	0.62358618
2C20EB3	1	1.76372	0.74042365	0.45782	0.021786242	0.004431809	0.786710052
2C21SB1	2	1.86991	0.793449952	0.38623	0.008477215	0.002293216	0.35972571
2C21SB2	2	1.87041	0.798252789	0.37735	0.008221165	0.002072779	0.379105513
2C21SB3	2	1.792663636	0.79251799	0.371945455	0.010008134	0.002700451	0.397024181
2C21RB1	3	1.79762	0.763109	0.42584	0.010639616	0.003442582	0.541314043
2C21RB2	3	1.789681818	0.750148579	0.447154545	0.009177256	0.003039771	0.50591376
2C21RB3	3	1.798309091	0.75573013	0.439272727	0.010534727	0.003217854	0.512980515
2C21EB1	1	1.682136364	0.703764153	0.498309091	0.016705384	0.002698058	0.740331681
2C21EB2	1	1.718154545	0.716884395	0.486436364	0.014239415	0.002754809	0.697400253
2C21EB3	1	1.68121	0.678594584	0.54035	0.020123288	0.00327144	0.759150867
2C23SB1	2	1.75324	0.820868791	0.31406	0.01038944	0.003776489	0.47967692
2C23SB2	2	1.811945455	0.81588348	0.333609091	0.005533807	0.006592412	0.583755433
2C23SB3	2	1.69432	0.824330705	0.29764	0.005467791	0.006410104	0.469656901
2C23RB1	2	1.69755	0.79447439	0.34889	0.011288956	0.029543438	0.48371445
2C23RB2	2	1.59125	0.784578162	0.34279	0.021626532	0.025626031	0.533513214
2C23RB3	2	1.63414	0.791156204	0.34128	0.02259831	0.022129453	0.513860454
2C24SB1	2	1.770011111	0.761727798	0.421744444	0.005465149	0.002026999	0.407294991
2C24SB2	2	1.75885	0.790783751	0.36798	0.004979605	0.001731276	0.430726482
2C24SB3	2	1.81981	0.759414444	0.43782	0.005329652	0.002696797	0.405143268
2C24RB1	1	1.995914286	0.716821507	0.5652	0.015659155	0.004113185	0.417250888
2C24RB2	1	1.793390909	0.722539245	0.536409091	0.013042701	0.002151298	0.381631345
2C24RB3	1	1.497375	0.733468525	0.204325	0.013118624	0.002637264	0.374417261
2C24EB1	1	1.708845455	0.698217297	0.5157	0.017463593	0.002711243	0.537667748
2C24EB2	1	1.743158333	0.728419201	0.473408333	0.015832421	0.002283865	0.486383329
2C24EB3	1	1.75741	0.737585424	0.46117	0.01349962	0.0021779	0.471224363
2C25SB1	2	1.86987	0.804473038	0.36561	0.002702981	0.001150109	0.540228838
2C25SB2	2	1.79498	0.808276415	0.34414	0.002664401	0.001209961	0.521132121
