"","water_33","water_32","water_23","water_24","water_25","water_26","water_27","water_21","water_20","water_31","water_28","water_19","water_29","water_16","water_30","water_13","water_18","water_15","water_14","water_17","water_12","water_11","water_7","water_6","water_8","water_5","water_9","water_10","water_4","water_3","water_1"
"water_28",0.301822070810374,0.214109122815447,0.400312134217714,0.436470207777509,0.313225733705644,0.140258529965397,0.17818624613047,0.19189471336664,0.280205168780566,0.262962354490432,0,0.231084118526649,0.282361320596615,0.327772378156382,0.0497754308870948,0.105692790653206,0.176578846588723,0.239430937972209,0.0816149915310149,0.180251035043078,0.405782523484057,0.409243488625949,0.0895888647592037,0.21728998165297,0.371876653489186,0.0952375708207635,0.291112875090212,0.302362361174408,0.183209689566104,0.440439666721735,0.307312549081524
"water_19",0.183385680917642,0.0764554989991861,0.177544283551963,0.121587721945033,0.138278522579583,0.13450704600736,0.0859206889404558,0.0986098715450535,0.0331534794350018,0.11439666276449,0.231084118526649,0,0.0316983529108136,0.111763877699264,0.102681547910223,0.121164711637415,0.166567670997265,0.153791995670663,0.179371988560699,0.157450493923706,0.18779819409776,0.173355535993716,0.078165547165339,0.0656627988847259,0.273710665924441,0.283524254390658,0.232766703590049,0.395975182454228,0.150882603435944,0.388996151612279,0.413858031699194
"water_29",0.180925916431479,0.136820509567696,0.228242239136628,0.0567676156056978,0.057226448668202,0.122953816132227,0.115248218238315,0.0493900218360771,0.0491534059558838,0.22830501841924,0.282361320596615,0.0316983529108136,0,0.164089189290057,0.098562394887914,0.19292191031102,0.155075712879579,0.32409363958575,0,0.230481087687843,0.168577134290142,0.234716256981841,0,0.196364829625321,0.387612258724298,0.0695009231986638,0.36269962620503,0.250175464412798,0,0.684506896879963,0.489128219333389
"water_16",0.367584723875455,0.263243371259972,0.489492088380543,0.290937907334992,0.283263233318666,0.184748045188092,0.206797134824323,0.220325022681991,0.12070427847434,0.175181386483302,0.327772378156382,0.111763877699264,0.164089189290057,0,0.0942663684172917,0.1012259764638,0.139909449595325,0.132187941139958,0.0368835979166702,0.0984630419776185,0.170636676727274,0.159462626958186,0.0678191371280847,0.276586838678914,0.274757828794036,0.327878394684434,0.48963277251875,0.346574096799148,0.054937646104868,0.520447419461896,0.353405658883166
"water_30",0.0626684587813621,0.101260835303389,0.130948132286462,0.234031701842861,0.153316355669057,0.0811718018619586,0.0509824959125943,0.102257094426845,0.0977743920640017,0.0603012279638527,0.0497754308870948,0.102681547910223,0.098562394887914,0.0942663684172917,0,0.0605533557818259,0.143920662698448,0.0911787507779332,0.052591778512611,0.162767227973333,0.234348901446144,0.2122800274915,0.0842355754173621,0.0461397605142747,0.183091290777995,0.195040925926473,0.145371305730425,0.327969453560441,0.12029307196589,0.232159772655511,0.292165716156962
"water_13",0.251265850945495,0.0906413289525458,0.303832832751576,0.61057675039008,0.225612873551018,0.0534536963272089,0.08734448004396,0.139052769521267,0.160974139418346,0.239543297043443,0.105692790653206,0.121164711637415,0.19292191031102,0.1012259764638,0.0605533557818259,0,0.111100998865181,0.197282364861706,0.0866675245127321,0.122239502837165,0.327519278982678,0.320780441949469,0.0495435539117872,0.0345114314517614,0.404370078109164,0.0862079590546639,0.0852750004139022,0.499615894039736,0.0233536628899278,0.318583384071726,0.40474924685451
"water_18",0.259054827767008,0.296216006777442,0.330930543284193,0.286077584893403,0.266098923222028,0.200445528553431,0.270792237718957,0.216132846410006,0.124947081431748,0.206364885836365,0.176578846588723,0.166567670997265,0.155075712879579,0.139909449595325,0.143920662698448,0.111100998865181,0,0.229061255936562,0.241802055702918,0.119550461189242,0.242708316462841,0.194606906537921,0.0871500370365396,0.217167964092469,0.463758716993889,0.270589257697809,0.385833524758125,0.290340600259955,0.166738713629302,0.49097793178105,0.403668669575857
"water_15",0.386975878095544,0.319356259338624,0.53008652460621,0.261195591473655,0.4355136554625,0.14222838262371,0.126181083909325,0.109195780169191,0.0828679839633449,0.169923220658255,0.239430937972209,0.153791995670663,0.32409363958575,0.132187941139958,0.0911787507779332,0.197282364861706,0.229061255936562,0,0.0209168360023118,0.131866549514497,0.187547130168378,0.210683968943483,0.156214256383145,0.135345737362338,0.29472962224402,0.209004487089787,0.519452856932622,0.569978350865916,0.201886724439477,0.544212467368506,0.484601829919744
"water_14",0.0250896057347672,0.138980535279806,0.347517730496454,0.0240549828178695,0.0888030888030885,0.146492130367182,0.0420576619478627,0.0784119199812962,0.237008556638437,0.0389302949301287,0.0816149915310149,0.179371988560699,0,0.0368835979166702,0.052591778512611,0.0866675245127321,0.241802055702918,0.0209168360023118,0,0.094857178264352,0.0993812229336709,0.00801832760595649,0.15358933186612,0.0337259100642399,0.252004581901489,0.0815817451868368,0.0331079333407237,0.473398773006135,0.187770150928142,0.53356049736968,0.137647957235586
"water_17",0.21501368125694,0.215887395521521,0.22968477882271,0.240216629193324,0.154797647599275,0.146543660203742,0.104057364216792,0.152241826253874,0.105219401900065,0.0121050857599676,0.180251035043078,0.157450493923706,0.230481087687843,0.0984630419776185,0.162767227973333,0.122239502837165,0.119550461189242,0.131866549514497,0.094857178264352,0,0.178182873400335,0.199589815608256,0.0804814803710637,0.0793866132046386,0.339262465923766,0.350287399563604,0.364062903583314,0.44955720324774,0.220260137579675,0.485236769915574,0.323428940116896
