"","sediment_33","sediment_32","sediment_23","sediment_24","sediment_25","sediment_26","sediment_27","sediment_21","sediment_20","sediment_31","sediment_28","sediment_19","sediment_29","sediment_16","sediment_30","sediment_13","sediment_18","sediment_15","sediment_14","sediment_17","sediment_12","sediment_11","sediment_7","sediment_6","sediment_8","sediment_5","sediment_9","sediment_10","sediment_4","sediment_3","sediment_1"
"sediment_19",0.410967994089138,0.379495990836197,0.369330441488263,0.333840774096701,0.248917969948321,0.267086560556404,0.130437157470557,0.232888362409979,0.256966608515584,0.216952439766612,0.105699870615069,0,0.339743000017231,0.129719737533551,0.0761498864211746,0.198501296949088,0.054373974602756,0.0513543193208937,0.176846179688857,0.0435744607239803,0.101653897433009,0.0206545211441042,0.155528304326941,0.201017525007273,0.210107755525096,0.201030927835052,0.134244833007829,0.102198914347747,0.0397396557687073,0.105086228730631,0.319413153613033
"sediment_29",0,0.155696267059007,0.28171057807758,0.094461916877732,0.133303656525258,0.138116438310159,0.170925549855534,0.176241992980051,0.13345882922505,0.347959389484122,0.214105332785137,0.339743000017231,0,0.126639575973013,0.0892509553080442,0.300408540681293,0.212914388567306,0.348004364023596,0.234723123172577,0.232839135996256,0.218948291228322,0.114789485763231,0.00801832760595649,0.18118336807897,0.26396132336096,0.0120274914089347,0.180206386456758,0.354468172684878,0.225025237464532,NA,0.289739655768707
"sediment_16",0.0250896057347672,0.523098902824249,0.361110145681487,0.291676753725647,0.244294177782705,0.179622970043775,0.0611582811535795,0.260096937812551,0.166740589757908,0.282713955247058,0.265728206408001,0.129719737533551,0.126639575973013,0,0.117191559247075,0.265766032150385,0.0586996837390781,0.0598231095446504,0.215415115697112,0.15588475049166,0.108647419676493,0.1114200576488,0.0730618338586356,0.187765003766425,0.317569642465453,0.0548833423765598,0.249265871180055,0.360347495647765,0.0645706057742501,0.105086228730631,0.330771409920063
"sediment_30",0.176664322630149,0.102215834358691,0.25422095379713,0.191881774540654,0.19857589326678,0.17356146754,0.108007731507602,0.171764710786515,0.121932397062096,0.135691410524644,0.134373280363641,0.0761498864211746,0.0892509553080442,0.117191559247075,0,0.182788250924295,0.14099764471458,0.128975439291467,0.240589986812209,0.130806430946276,0.0648124991350799,0.119478073286868,0.0919787279516974,0.179801085295199,0.228627532186705,0.0923099925427827,0.135135135135135,0.162586014467482,0.0496619000110856,0.0376344086021508,0.45000158689854
"sediment_13",0.364797544246933,0.445227107228069,0.367290991294633,0.389555555555556,0.376872395094209,0.477054883417899,0.28854380402562,0.389777753273354,0.320287947849264,0.204645292551345,0.361562385328946,0.198501296949088,0.300408540681293,0.265766032150385,0.182788250924295,0,0.142380768329392,0.166100493721679,0.297929277906813,0.22508398714509,0.181837149246194,0.207813284252941,0.297836342129466,0.121948237372739,0.321949504277505,0.130975600047765,0.285918303178038,0.316412185274514,0.073194005802378,0.345738827539498,0.240912229896949
"sediment_18",0.324719300581369,0.527752109331642,0.216060039066729,0.324244751664107,0.151653918242262,0.233285019619015,0.0858230321114339,0.190246686890667,0.207588600554971,0.268101987650553,0.0945219889623391,0.054373974602756,0.212914388567306,0.0586996837390781,0.14099764471458,0.142380768329392,0,0.0525046847961007,0.147804089308854,0.0666462638444146,0.0887836364056041,0.0695489111421308,0.128355686422389,0.0734735352959497,0.102111452668236,0.0624427815149464,0.183094498430323,0.0682267658987269,0.129806514972839,0.105086228730631,0.270279329640819
"sediment_15",0.163719838894432,0.464482899660991,0.346717869857531,0.418532825661751,0.275550635015252,0.291811452985978,0.0812162883929182,0.324635356085938,0.272337062691254,0.205775537478693,0.108536961318202,0.0513543193208937,0.348004364023596,0.0598231095446504,0.128975439291467,0.166100493721679,0.0525046847961007,0,0.0995924459798664,0.0476117819111858,0.0751484197203712,0.0321275515926613,0.0733471556350926,0.175909434523061,0.194340483778355,0.0180412371134021,0.236928313945273,0.169133322156967,0.0449678800856533,0.273850841845882,0.218643354742457
"sediment_14",0.278881465421884,0.540039948615746,0.366061445705001,0.528350515463918,0.282986721264038,0.425482055628014,0.186665784954366,0.411001303471975,0.503239700082936,0.266099259453737,0.236601472475638,0.176846179688857,0.234723123172577,0.215415115697112,0.240589986812209,0.297929277906813,0.147804089308854,0.0995924459798664,0,0.160218794368075,0.0689671630393281,0.195819712356428,0.202510167633547,0.180287492109907,0.250362733867889,0.0240549828178695,0.274830950005543,0.147278790648858,0.0701660381244524,0.105086228730631,0.203559749473451
"sediment_17",0.295952743550695,0.435216108017207,0.446553982349323,0.282873068516455,0.332252926506957,0.270224077689095,0.0372977893015116,0.263303317883265,0.220434174531403,0.217623119665407,0.178932051641974,0.0435744607239803,0.232839135996256,0.15588475049166,0.130806430946276,0.22508398714509,0.0666462638444146,0.0476117819111858,0.160218794368075,0,0.0401873320005448,0.108546558717192,0.151109556905141,0.197474447305414,0.225751119336316,0.0411262609466802,0.249670451189736,0.13408806398717,0.078075813426377,0.105086228730631,0.267452436863725
"sediment_12",0.395400126023944,0.185245345245721,0.168809521825711,0.457546675063737,0.132043841286218,0.0194950985904446,0.0759501132414936,0.101681195788451,0.199946158300247,0.0181905161036772,0.00229885057471266,0.101653897433009,0.218948291228322,0.108647419676493,0.0648124991350799,0.181837149246194,0.0887836364056041,0.0751484197203712,0.0689671630393281,0.0401873320005448,0,0.0106856642472898,0,0.165707345413519,0.163524932796563,0,0.146270694657792,0.094191131403701,0.00801832760595649,NA,0.0673129601362013
