"Kingdom"	"Phylum"	"Class"	"Order"	"Family"
"seq102798"	"Archaea"	"Nanoarchaeota"	"Nanoarchaeia"	"Woesearchaeales"	"SCGC AAA011-D5"
"seq106670"	"Bacteria"	"Actinobacteriota"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriales Incertae Sedis"
"seq107374"	"Bacteria"	"Verrucomicrobiota"	"Chlamydiae"	"Chlamydiales"	"Parachlamydiaceae"
"seq108221"	"Bacteria"	"Elusimicrobiota"	"Endomicrobia"	"Endomicrobiales"	"Endomicrobiaceae"
"seq109655"	"Bacteria"	"Nitrospinota"	"Nitrospinia"	"Nitrospinales"	"Nitrospinaceae"
"seq109879"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Glycomycetales"	"Glycomycetaceae"
"seq111026"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Immundisolibacterales"	"Immundisolibacteraceae"
"seq111952"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Chloroflexales"	"Roseiflexaceae"
"seq113151"	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Hydrogenoanaerobacterium"
"seq114256"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Pasteurellaceae"
"seq114361"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidales UCG-001"
"seq114374"	"Bacteria"	"Firmicutes"	"Clostridia"	"Monoglobales"	"Monoglobaceae"
"seq119246"	"Archaea"	"Nanoarchaeota"	"Nanoarchaeia"	"Woesearchaeales"	"GW2011_GWC1_47_15"
"seq120339"	"Bacteria"	"Fibrobacterota"	"Fibrobacteria"	"Fibrobacterales"	"Candidatus Raymondbacteria"
"seq121896"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Kordiimonadales"	"Iodidimonadaceae"
"seq122819"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Labraceae"
"seq124538"	"Bacteria"	"Proteobacteria"	"Magnetococcia"	"Magnetococcales"	"Magnetococcaceae"
"seq126579"	"Bacteria"	"Firmicutes"	"Desulfitobacteriia"	"Desulfitobacteriales"	"Desulfitobacteriaceae"
"seq130486"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Cyanobacteriales"	"Geitlerinemaceae"
"seq131578"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"ADurb.Bin408"
"seq133113"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Midichloriaceae"
"seq137224"	"Bacteria"	"Fibrobacterota"	"Fibrobacteria"	"Fibrobacterales"	"B122"
"seq140690"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"KD1-131"
"seq142955"	"Archaea"	"Nanoarchaeota"	"Nanoarchaeia"	"Woesearchaeales"	"GW2011"
"seq148638"	"Bacteria"	"Verrucomicrobiota"	"Lentisphaeria"	"Victivallales"	"GWF2-44-16"
"seq149303"	"Bacteria"	"Halanaerobiaeota"	"Halanaerobiia"	"Halanaerobiales"	"Halobacteroidaceae"
"seq149372"	"Bacteria"	"Desulfobacterota"	"Desulfobacteria"	"Desulfobacterales"	"Desulforegulaceae"
"seq149763"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Celerinatantimonadaceae"
"seq150747"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Barnesiellaceae"
"seq150885"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Dietziaceae"
"seq154307"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Caloramatoraceae"
"seq158777"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Cardiobacteriales"	"Cardiobacteriaceae"
"seq159157"	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Clostridiisalibacter"
"seq159160"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Orbaceae"
"seq159632"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Emcibacterales"	"Emcibacteraceae"
"seq161486"	"Bacteria"	"Firmicutes"	"Thermoanaerobacteria"	"Thermoanaerobacterales"	"SRB2"
"seq162130"	"Bacteria"	"Methylomirabilota"	"Methylomirabilia"	"Rokubacteriales"	"WX65"
"seq163597"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhodobiaceae"
"seq164767"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Frankiales"	"Frankiaceae"
"seq174019"	"Bacteria"	"Firmicutes"	"Negativicutes"	"Veillonellales-Selenomonadales"	"Selenomonadaceae"
"seq178805"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Salinisphaerales"	"Salinisphaeraceae"
"seq179669"	"Bacteria"	"Deferribacterota"	"Deferribacteres"	"Deferribacterales"	"Deferribacteraceae"
"seq187478"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"Tepidisphaerales"	"WD2101 soil group"
"seq195007"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Oxobacteraceae"
"seq195289"	"Bacteria"	"Firmicutes"	"Clostridia"	"Gracilibacteraceae"	"Lutispora"
"seq195820"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Kordiimonadales"	"Temperatibacteraceae"
"seq199168"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Beutenbergiaceae"
"seq199322"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptosporangiales"	"Thermomonosporaceae"
"seq201895"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Phormidesmiales"	"Phormidesmiaceae"
"seq208075"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Acetobacterales"	"Elioraeaceae"
"seq210713"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Chloroflexales"	"Herpetosiphonaceae"
"seq220610"	"Bacteria"	"Firmicutes"	"Bacilli"	"Thermoactinomycetales"	"Thermoactinomycetaceae"
"seq226169"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptosporangiales"	"Streptosporangiaceae"
"seq227445"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"MWH-CFBk5"
"seq227980"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Ancalomicrobiaceae"
"seq235875"	"Bacteria"	"Myxococcota"	"Myxococcia"	"Myxococcales"	"Vulgatibacteraceae"
"seq247919"	"Bacteria"	"Actinobacteriota"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"
"seq249192"	"Archaea"	"Iainarchaeota"	"Iainarchaeia"	"Iainarchaeales"	"Candidatus Iainarchaeum"
"seq265240"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Acidobacteriales"	"Acidobacteriaceae (Subgroup 1)"
"seq270518"	"Bacteria"	"Spirochaetota"	"Brachyspirae"	"Brachyspirales"	"LH041"
"seq284715"	"Bacteria"	"Bacteroidota"	"Chlorobia"	"Chlorobiales"	"Chlorobiaceae"
"seq304870"	"Bacteria"	"Chrysiogenetota"	"Chrysiogenetes"	"Chrysiogenales"	"Chrysiogenaceae"
"seq306921"	"Bacteria"	"Verrucomicrobiota"	"Lentisphaeria"	"Victivallales"	"Victivallaceae"
"seq336855"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Muribaculaceae"
"seq337953"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Phormidesmiales"	"Nodosilineaceae"
"seq571309"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Thermomicrobiales"	"Thermomicrobiaceae"
"seq596432"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Magnetospirillaceae"
"seq596483"	"Bacteria"	"Firmicutes"	"Desulfotomaculia"	"Desulfotomaculales"	"Desulfotomaculaceae"
"seq106354"	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Clostridium sensu stricto"
"seq120249"	"Bacteria"	"Chloroflexi"	"Dehalococcoidia"	"GIF9"	"AB-539-J10"
"seq149348"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Sanguibacteraceae"
"seq157976"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"MSBL9"	"ST-NAGAB-D1"
"seq164879"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"MSBL9"	"L21-RPul-D3"
"seq180853"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Mooreiaceae"
"seq242689"	"Bacteria"	"Firmicutes"	"Desulfitobacteriia"	"Desulfitobacteriales"	"Syntrophobotulaceae"
"seq271768"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Ectothiorhodospirales"	"Acidihalobacteraceae"
"seq667363"	"Bacteria"	"Desulfobacterota"	"Syntrophorhabdia"	"Syntrophorhabdales"	"Syntrophorhabdaceae"
"seq111518"	"Bacteria"	"Planctomycetota"	"Brocadiae"	"Brocadiales"	"Scalinduaceae"
"seq155947"	"Bacteria"	"Nitrospirota"	"Thermodesulfovibrionia"	"Thermodesulfovibrionales"	"Thermodesulfovibrionaceae"
"seq208630"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Azospirillales"	"Inquilinaceae"
"seq213799"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Blattabacteriaceae"
"seq358597"	"Bacteria"	"Cyanobacteria"	"Vampirivibrionia"	"Obscuribacterales"	"Obscuribacteraceae"
"seq447311"	"Bacteria"	"Methylomirabilota"	"Methylomirabilia"	"Methylomirabilales"	"Methylomirabilaceae"
"seq465686"	"Bacteria"	"Thermotogota"	"Thermotogae"	"Kosmotogales"	"Kosmotogaceae"
