Sample_ID	season	cluster	habitat	field_replicate	d14N_15N	d12C_13C	N	C	CN_ratio	Density	Dry_matter	Grain_size	Water_content	Organic_content	Inorganic_content	TP	NP_ratio	hb	snch	Salinity	sal_group	log_N	log_C	log_Organic_content	log_Inorganic_content	log_CN_ratio	log_NP_ratio	log_TP	d14N_15N_summedmin	cube_d14N_15N	hab_uni
21	2C12SB3	autumn	12	SB	3	8.913101402	-20.99013193	446.2558475	3722.43062	9.731717239	1.80653	0.734335992	1	0.47993	0.010308313	0.003520069	0.677484407	658.695377914432	sand	autumn_12_sand	20.48894056	2	6.10089243664945	8.22213212637238	-4.57480462188779	-5.64927468729153	2.2753903697314	6.49026117864075	-0.389368741991297	35.857379692	46103.6861211636	sand
22	2C13RB1	autumn	13	RB	1	-7.597021776	-27.98723114	947.2534316	1647.636615	2.029280289	1.78248	0.827223868	3	0.30797	0.021142091	0.010735311	0.249292836	3799.76194582663	rocks	autumn_13_rocks	25.8002098	3	6.85356667258943	7.40709718554879	-3.85648939141638	-4.5342168774143	0.707681192752016	8.24269369791705	-1.38912702532762	19.347256514	7241.99414324468	rocks
23	2C13RB2	autumn	13	RB	2	1.216535013	-26.68170108	539.7334751	1382.695786	2.988780867	1.81256	0.832993115	3	0.30271	0.008710614	0.014687078	0.197551143	2732.12023430307	rocks	autumn_13_rocks	25.8002098	3	6.29107545308558	7.23179034072955	-4.74321299691687	-4.22078721940542	1.09486556746605	7.91283322935006	-1.62175777626448	28.160813303	22332.4093645831	rocks
24	2C13RB3	autumn	13	RB	3	3.868146883	-27.10072016	524.2020198	1283.975686	2.857622781	1.84054	0.83515164	3	0.30341	0.009048822	0.012574374	0.187780944	2791.5613194489	rocks	autumn_13_rocks	25.8002098	3	6.26187714399138	7.15771654793354	-4.70512069548845	-4.37609434554759	1.04999008374273	7.93435633099631	-1.67247918700493	30.812425173	29253.4873154294	rocks
25	2C13SB1	autumn	13	SB	1	-5.067517079	-24.66217604	615.5463083	1473.314218	2.792424493	1.848266667	0.795961982	2	0.377116667	0.010095069	0.012104544	0.674271451	912.905785032266	sand	autumn_13_sand	27.41535732	3	6.42251017967494	7.29526971211132	-4.59570819217383	-4.4141743596858	1.02691021238348	6.81663268253449	-0.394122502859547	21.876761211	10470.0578013876	sand
26	2C13SB2	autumn	13	SB	2	-7.031159266	-24.91277106	559.9466785	1453.07387	3.0275255	1.806236364	0.791062279	2	0.377390909	0.009860719	0.010977875	0.621782853	900.550209447477	sand	autumn_13_sand	27.41535732	3	6.32784156223149	7.28143650192011	-4.6191961921337	-4.51187339532845	1.10774561920072	6.80300592036033	-0.475164358128842	19.913119024	7896.19507123543	sand
27	2C13SB3	autumn	13	SB	3	-6.082098634	-24.05974535	729.6632478	1630.779243	2.607471035	1.836758333	0.794048391	2	0.378283333	0.010607402	0.01109533	0.618161691	1180.37603821684	sand	autumn_13_sand	27.41535732	3	6.59258312332527	7.39681324275519	-4.54620321967664	-4.50123097991236	0.958380799489769	7.0735883431481	-0.481005219822825	20.862179656	9079.85771724163	sand
28	2C14RB1	autumn	14	RB	1	3.149975522	-31.12634482	40.65083329	546.8495911	15.69441849	1.8734625	0.830614437	2	0.3173375	0.0104561	0.003742748	0.348452246	116.661131494041	rocks	autumn_14_rocks	27.10616722	3	3.70501933492271	6.30417379404392	-4.56056973881919	-5.58793517800091	2.75330513895445	4.75927342035304	-1.05425408543034	30.094253812	27255.2856700271	rocks
29	2C14RB2	autumn	14	RB	2	13.23113423	-28.73233179	38.97941556	526.9257689	15.77106074	2.051663636	0.815063607	2	0.379427273	0.005815741	0.006376534	0.313824897	124.207530800209	rocks	autumn_14_rocks	27.10616722	3	3.6630337006371	6.267059682643	-5.14718707206713	-5.05513058943281	2.75817666187078	4.82195380212342	-1.15892010148632	40.17541252	64845.6778396254	rocks
30	2C14RB3	autumn	14	RB	3	NA	-28.27754384	NA	431.4356671	NA	1.954890909	0.808219943	2	0.374909091	0.006595024	0.00890169	0.328166747	NA	rocks	autumn_14_rocks	27.10616722	3	NA	6.06711840809888	-5.02143985369893	-4.72151413262997	NA	NA	-1.11423342477678	NA	NA	rocks
