SiteA	SiteB	Mads_calc
18	32	365.6811
18	33	363.0035
19	20	76.8079
19	21	101.8445
19	23	160.2062
19	24	155.4346
19	25	208.0467
19	26	230.8172
19	27	235.5598
19	28	181.2696
19	29	219.5122
19	30	141.3394
19	31	74.43018
19	32	317.7647
19	33	315.087
20	21	38.67439
20	23	102.376
20	24	97.72245
20	25	150.0094
20	26	172.7799
20	27	205.7799
20	28	165.0761
20	29	203.3187
20	30	126.3328
20	31	52.68034
20	32	260.8778
20	33	258.1143
21	23	72.59628
21	24	68.14981
21	25	120.5258
21	26	143.2963
21	27	175.7963
21	28	176.8417
21	29	215.4095
21	30	137.9203
21	31	61.52521
21	32	230.48
21	33	227.6274
23	24	42.19459
23	25	77.66453
23	26	96.89402
23	27	130.0121
23	28	185.6761
23	29	225.3007
23	30	185.8953
23	31	110.0603
23	32	160.8635
23	33	159.5132
24	25	61.77661
24	26	84.04712
24	27	117.1652
24	28	173.533
24	29	213.2757
24	30	179.7931
24	31	103.5761
24	32	179.9061
24	33	180.9443
25	26	44.74593
25	27	77.86397
25	28	133.9389
25	29	173.9745
25	30	182.2777
25	31	156.7139
25	32	169.6979
25	33	182.8389
26	27	33.11803
26	28	89.48591
26	29	129.2286
26	30	137.3536
26	31	178.9297
26	32	168.2498
26	33	186.8034
27	28	55.86787
27	29	95.49249
27	30	104.4995
27	31	169.3194
27	32	199.0864
27	33	219.3034
28	29	40.24265
28	30	51.29837
28	31	116.0002
28	32	255.4833
28	33	275.6713
29	30	86.89951
29	31	153.9734
29	32	295.2259
29	33	315.385
30	31	75.89512
30	32	301.3554
30	33	321.6292
31	32	266.2281
31	33	263.8756
32	33	46.45742
