Sample_ID	d14N_15N	Norm_d14N_15N	d12C_13C	Norm_d12C_13C	Remarks	QC	MISS
C23SB3	0.392	0.544882778	-23.741	-23.29028171	N and C under QL	NC_und_QL	
C24EB1	3.934	4.020660797	-19.537	-19.31774993		OK	
C24EB2	4.097	4.180613315	-19.688	-19.48110262		OK	
C24EB3	3.786	3.875427837	-19.793	-19.60383862		OK	
C24RB1	4.186	4.267949352	-20.027	-19.83876244		OK	
C24RB2	4.143	4.225753289	-18.552	-18.27430343		OK	
C24RB3	4.702	4.774302107	-18.68	-18.3714173		OK	
C24SB1	3.096	3.198328222	-22.222	-21.98193921		OK	
C24SB2	2.051	2.172865763	-20.347	-19.64283685	N under QL	N_und_QL	
C24SB3	2.579	2.690994164	-19.7	-19.12754957		OK	
C25EB1	5.701	5.754624592	-22.913	-22.85879981		OK	
C25EB2	5.166	5.229627065	-22.834	-22.77718295		OK	
C25EB3	4.114	4.584452112	-21.989	-21.96814194		OK	
C25RB1	5.018	5.084394104	-23.197	-23.07400883		OK	
C25RB2	5.978	6.026445741	-23.833	-23.75963546		OK	
C25RB3	3.143	3.2444495	-22.443	-22.13374328		OK	
C25SB1	2.691	2.800900188	-21.435	-20.56057429	N and C under QL	NC_und_QL	
C25SB2	2.119	2.239594421	-22.516	-21.90504188	N and C under QL	NC_und_QL	
C25SB3	1.197	1.334832328	-21.551	-20.71190668	N and C under QL	NC_und_QL	
C26EB1	-5.972	-5.223138854	-19.647	-18.80517405		OK	
C26EB2	-6.623	-5.856168967	-20.536	-19.63556416		OK	
C26EB3	-6.058	-5.306764952	-22.24	-21.67504432		OK	
C26RB1	-12.597	-11.66526558	-21.965	-21.40135899		OK	
C26RB2	-8.38	-7.564669594	-22.852	-22.46148109		OK	
C26RB3	-7.01	-6.232486407	-23.963	-23.64870353		OK	
C26SB1	-8.408	-7.591896696	-22.924	-22.07013849	C under Q	C_und_QL	
C26SB2	-10.571	-9.695190297	-24.14	-23.48122123	C under Q	C_und_QL	
C26SB3	-4.792	-4.075711	-23.352	-22.45540444	C under Q	C_und_QL	
C27EB1	-8.198	-7.387693434	-23.071	-22.65002777		OK	
C27EB2	-5.162	-4.4354977	-24.024	-24.0151129		OK	
C27EB3	-10.422	-9.55030322	-23.329	-23.09453006		OK	
C27RB1	-5.18	-4.453000836	-24.468	-23.9733527	N and C under QL	NC_und_QL	
C27RB2	-3.595	-2.911752405	-24.172	-23.97976588		OK	
C27RB3	-5.927	-5.179381012	-24.906	-24.76789096		OK	
C27SB1	-14.884	-13.88913634	-24.461	-23.6751879	N and C under QL	NC_und_QL	
C27SB2	-9.653	-8.802530322	-23.078	-21.92504798	N and C under QL	NC_und_QL	
C27SB3	-7.219	-6.435717273	-23.29	-22.01607463	N and C under QL	NC_und_QL	
C28EB1	-0.419	0.176578837	-22.113	-21.40548636		OK	
C28EB2	0.412	0.984640318	-20.42	-19.68790459		OK	
C28EB3	-4.006	-3.311407361	-21.58	-20.54476079	C under Q	C_und_QL	
C28RB1	-1.652	-1.022386031	-23.997	-22.44950822	N and C under QL	NC_und_QL	
C28RB2	-4.228	-3.527279381	-24.381	-23.28168686	N and C under QL	NC_und_QL	
C28RB3	-5.713	-4.971288164	-25.209	-24.45829733	N and C under QL	NC_und_QL	
C28SB1	-8.347	-7.53258051	-23.375	-22.67508603	C under Q	C_und_QL	
