"cluster" "season" "habitat" "substrate_type" "field_replicate"
"C25EB2" 25 "spring" "eelgrass" "sediment" 2
"C25EB3" 25 "spring" "eelgrass" "sediment" 3
"C25SB1" 25 "spring" "sand" "sediment" 1
"C25SB2" 25 "spring" "sand" "sediment" 2
"C25SB3" 25 "spring" "sand" "sediment" 3
"C26EB1" 26 "spring" "eelgrass" "sediment" 1
"C26EB3" 26 "spring" "eelgrass" "sediment" 3
"C26RB1" 26 "spring" "rocks" "sediment" 1
"C26RB2" 26 "spring" "rocks" "sediment" 2
"C26RB3" 26 "spring" "rocks" "sediment" 3
"C26SB1" 26 "spring" "sand" "sediment" 1
"C26SB2" 26 "spring" "sand" "sediment" 2
"C26SB3" 26 "spring" "sand" "sediment" 3
"C27EB2" 27 "spring" "eelgrass" "sediment" 2
"C27EB3" 27 "spring" "eelgrass" "sediment" 3
"C27RB2" 27 "spring" "rocks" "sediment" 2
"C27SB1" 27 "spring" "sand" "sediment" 1
"C27SB2" 27 "spring" "sand" "sediment" 2
"C27SB3" 27 "spring" "sand" "sediment" 3
"C28EB1" 28 "spring" "eelgrass" "sediment" 1
"C28RB1" 28 "spring" "rocks" "sediment" 1
"C28RB2" 28 "spring" "rocks" "sediment" 2
"C28RB3" 28 "spring" "rocks" "sediment" 3
"C28SB1" 28 "spring" "sand" "sediment" 1
"C28SB2" 28 "spring" "sand" "sediment" 2
"C28SB3" 28 "spring" "sand" "sediment" 3
"C29EB1" 29 "spring" "eelgrass" "sediment" 1
"C29EB2" 29 "spring" "eelgrass" "sediment" 2
"C29EB3" 29 "spring" "eelgrass" "sediment" 3
"C29RB1" 29 "spring" "rocks" "sediment" 1
"C29RB2" 29 "spring" "rocks" "sediment" 2
"C29RB3" 29 "spring" "rocks" "sediment" 3
"C29SB1" 29 "spring" "sand" "sediment" 1
"C29SB2" 29 "spring" "sand" "sediment" 2
"C29SB3" 29 "spring" "sand" "sediment" 3
"C2RB1" 2 "spring" "rocks" "sediment" 1
"C2RB2" 2 "spring" "rocks" "sediment" 2
"C2RB3" 2 "spring" "rocks" "sediment" 3
"C30EB1" 30 "spring" "eelgrass" "sediment" 1
"C30EB2" 30 "spring" "eelgrass" "sediment" 2
"C30EB3" 30 "spring" "eelgrass" "sediment" 3
"C30RB1" 30 "spring" "rocks" "sediment" 1
"C30RB2" 30 "spring" "rocks" "sediment" 2
"C30RB3" 30 "spring" "rocks" "sediment" 3
"C30SB1" 30 "spring" "sand" "sediment" 1
"C30SB2" 30 "spring" "sand" "sediment" 2
"C30SB3" 30 "spring" "sand" "sediment" 3
"C31EB1" 31 "spring" "eelgrass" "sediment" 1
"C31EB3" 31 "spring" "eelgrass" "sediment" 3
"C31RB3" 31 "spring" "rocks" "sediment" 3
"C31SB1" 31 "spring" "sand" "sediment" 1
"C31SB2" 31 "spring" "sand" "sediment" 2
"C31SB3" 31 "spring" "sand" "sediment" 3
"C32RB1" 32 "spring" "rocks" "sediment" 1
"C32RB3" 32 "spring" "rocks" "sediment" 3
"C33RB3" 33 "spring" "rocks" "sediment" 3
"C33SB2" 33 "spring" "sand" "sediment" 2
"C3RB1" 3 "spring" "rocks" "sediment" 1
"C3RB3" 3 "spring" "rocks" "sediment" 3
"C3SB2" 3 "spring" "sand" "sediment" 2
"C5RB3" 5 "spring" "rocks" "sediment" 3
"C5SB2" 5 "spring" "sand" "sediment" 2
"C5SB3" 5 "spring" "sand" "sediment" 3
"C6RB1" 6 "spring" "rocks" "sediment" 1
"C6RB2" 6 "spring" "rocks" "sediment" 2
"C6RB3" 6 "spring" "rocks" "sediment" 3
"C6SB1" 6 "spring" "sand" "sediment" 1
"C6SB2" 6 "spring" "sand" "sediment" 2
"C6SB3" 6 "spring" "sand" "sediment" 3
"C7RB1" 7 "spring" "rocks" "sediment" 1
"C7RB3" 7 "spring" "rocks" "sediment" 3
"C7SB1" 7 "spring" "sand" "sediment" 1
"C8EB2" 8 "spring" "eelgrass" "sediment" 2
"C8EB3" 8 "spring" "eelgrass" "sediment" 3
"C8RB1" 8 "spring" "rocks" "sediment" 1
"C8RB3" 8 "spring" "rocks" "sediment" 3
"C8SB1" 8 "spring" "sand" "sediment" 1
"C8SB2" 8 "spring" "sand" "sediment" 2
