Root	Community	Cluster	Season	Habitat	Substrate	Lat	Lon	Geographic_Order	Sub_Area	New_Area	dist_from_C33.km
2C19RW	2C19RW	19	autumn	rocks	water	55.06489	10.21874	124	Little Belt	Kattegat	315.087
2C19SB	2C19SB	19	autumn	sand	sediment	55.06489	10.21874	125	Little Belt	Kattegat	315.087
2C19SW	2C19SW	19	autumn	sand	water	55.06489	10.21874	126	Little Belt	Kattegat	315.087
C19EB	C19EB	19	spring	eelgrass	sediment	55.06489	10.21874	127	Little Belt	Kattegat	315.087
C19EW	C19EW	19	spring	eelgrass	water	55.06489	10.21874	128	Little Belt	Kattegat	315.087
C19RB	C19RB	19	spring	rocks	sediment	55.06489	10.21874	129	Little Belt	Kattegat	315.087
C19RW	C19RW	19	spring	rocks	water	55.06489	10.21874	130	Little Belt	Kattegat	315.087
C19SB	C19SB	19	spring	sand	sediment	55.06489	10.21874	131	Little Belt	Kattegat	315.087
C19SW	C19SW	19	spring	sand	water	55.06489	10.21874	132	Little Belt	Kattegat	315.087
2C29EB	2C29EB	29	autumn	eelgrass	sediment	55.68357	12.073107	133	Kattegat	Kattegat	315.385
2C29EW	2C29EW	29	autumn	eelgrass	water	55.68357	12.073107	134	Kattegat	Kattegat	315.385
2C29RB	2C29RB	29	autumn	rocks	sediment	55.68357	12.073107	135	Kattegat	Kattegat	315.385
2C29RW	2C29RW	29	autumn	rocks	water	55.68357	12.073107	136	Kattegat	Kattegat	315.385
2C29SB	2C29SB	29	autumn	sand	sediment	55.68357	12.073107	137	Kattegat	Kattegat	315.385
2C29SW	2C29SW	29	autumn	sand	water	55.68357	12.073107	138	Kattegat	Kattegat	315.385
C29EB	C29EB	29	spring	eelgrass	sediment	55.68357	12.073107	139	Kattegat	Kattegat	315.385
C29EW	C29EW	29	spring	eelgrass	water	55.68357	12.073107	140	Kattegat	Kattegat	315.385
C29RB	C29RB	29	spring	rocks	sediment	55.68357	12.073107	141	Kattegat	Kattegat	315.385
C29RW	C29RW	29	spring	rocks	water	55.68357	12.073107	142	Kattegat	Kattegat	315.385
C29SB	C29SB	29	spring	sand	sediment	55.68357	12.073107	143	Kattegat	Kattegat	315.385
C29SW	C29SW	29	spring	sand	water	55.68357	12.073107	144	Kattegat	Kattegat	315.385
2C16EB	2C16EB	16	autumn	eelgrass	sediment	55.49418	10.618222	145	Samso Belt	Kattegat	317.1916
2C16RB	2C16RB	16	autumn	rocks	sediment	55.49418	10.618222	147	Samso Belt	Kattegat	317.1916
2C16RW	2C16RW	16	autumn	rocks	water	55.49418	10.618222	148	Samso Belt	Kattegat	317.1916
2C16SB	2C16SB	16	autumn	sand	sediment	55.49418	10.618222	149	Samso Belt	Kattegat	317.1916
2C16SW	2C16SW	16	autumn	sand	water	55.49418	10.618222	150	Samso Belt	Kattegat	317.1916
C16EB	C16EB	16	spring	eelgrass	sediment	55.49418	10.618222	151	Samso Belt	Kattegat	317.1916
C16EW	C16EW	16	spring	eelgrass	water	55.49418	10.618222	152	Samso Belt	Kattegat	317.1916
C16RB	C16RB	16	spring	rocks	sediment	55.49418	10.618222	153	Samso Belt	Kattegat	317.1916
C16RW	C16RW	16	spring	rocks	water	55.49418	10.618222	154	Samso Belt	Kattegat	317.1916
C16SB	C16SB	16	spring	sand	sediment	55.49418	10.618222	155	Samso Belt	Kattegat	317.1916
C16SW	C16SW	16	spring	sand	water	55.49418	10.618222	156	Samso Belt	Kattegat	317.1916
2C30EB	2C30EB	30	autumn	eelgrass	sediment	55.75885	11.349378	157	Great Belt	Kattegat	321.6292
2C30EW	2C30EW	30	autumn	eelgrass	water	55.75885	11.349378	158	Great Belt	Kattegat	321.6292
2C30RB	2C30RB	30	autumn	rocks	sediment	55.75885	11.349378	159	Great Belt	Kattegat	321.6292
2C30RW	2C30RW	30	autumn	rocks	water	55.75885	11.349378	160	Great Belt	Kattegat	321.6292
2C30SB	2C30SB	30	autumn	sand	sediment	55.75885	11.349378	161	Great Belt	Kattegat	321.6292
2C30SW	2C30SW	30	autumn	sand	water	55.75885	11.349378	162	Great Belt	Kattegat	321.6292
C30EB	C30EB	30	spring	eelgrass	sediment	55.75885	11.349378	163	Great Belt	Kattegat	321.6292
C30EW	C30EW	30	spring	eelgrass	water	55.75885	11.349378	164	Great Belt	Kattegat	321.6292
C30RB	C30RB	30	spring	rocks	sediment	55.75885	11.349378	165	Great Belt	Kattegat	321.6292
C30RW	C30RW	30	spring	rocks	water	55.75885	11.349378	166	Great Belt	Kattegat	321.6292
C30SB	C30SB	30	spring	sand	sediment	55.75885	11.349378	167	Great Belt	Kattegat	321.6292
C30SW	C30SW	30	spring	sand	water	55.75885	11.349378	168	Great Belt	Kattegat	321.6292
2C13RB	2C13RB	13	autumn	rocks	sediment	56.44816	10.955088	169	Kattegat	Kattegat	333.7817
2C13RW	2C13RW	13	autumn	rocks	water	56.44816	10.955088	170	Kattegat	Kattegat	333.7817
2C13SB	2C13SB	13	autumn	sand	sediment	56.44816	10.955088	171	Kattegat	Kattegat	333.7817
2C13SW	2C13SW	13	autumn	sand	water	56.44816	10.955088	172	Kattegat	Kattegat	333.7817
C13RB	C13RB	13	spring	rocks	sediment	56.44816	10.955088	173	Kattegat	Kattegat	333.7817
C13RW	C13RW	13	spring	rocks	water	56.44816	10.955088	174	Kattegat	Kattegat	333.7817
C13SB	C13SB	13	spring	sand	sediment	56.44816	10.955088	175	Kattegat	Kattegat	333.7817
C13SW	C13SW	13	spring	sand	water	56.44816	10.955088	176	Kattegat	Kattegat	333.7817
2C18RB	2C18RB	18	autumn	rocks	sediment	55.11826	9.488224	177	Little Belt	Kattegat	363.0035
2C18RW	2C18RW	18	autumn	rocks	water	55.11826	9.488224	178	Little Belt	Kattegat	363.0035
2C18SB	2C18SB	18	autumn	sand	sediment	55.11826	9.488224	179	Little Belt	Kattegat	363.0035
2C18SW	2C18SW	18	autumn	sand	water	55.11826	9.488224	180	Little Belt	Kattegat	363.0035
C18RB	C18RB	18	spring	rocks	sediment	55.11826	9.488224	181	Little Belt	Kattegat	363.0035
C18RW	C18RW	18	spring	rocks	water	55.11826	9.488224	182	Little Belt	Kattegat	363.0035
C18SB	C18SB	18	spring	sand	sediment	55.11826	9.488224	183	Little Belt	Kattegat	363.0035
C18SW	C18SW	18	spring	sand	water	55.11826	9.488224	184	Little Belt	Kattegat	363.0035
2C15RB	2C15RB	15	autumn	rocks	sediment	55.70038	9.710981	185	Samso Belt	Kattegat	365.5222
2C15RW	2C15RW	15	autumn	rocks	water	55.70038	9.710981	186	Samso Belt	Kattegat	365.5222
2C15SB	2C15SB	15	autumn	sand	sediment	55.70038	9.710981	187	Samso Belt	Kattegat	365.5222
2C15SW	2C15SW	15	autumn	sand	water	55.70038	9.710981	188	Samso Belt	Kattegat	365.5222
C15RB	C15RB	15	spring	rocks	sediment	55.70038	9.710981	189	Samso Belt	Kattegat	365.5222
C15RW	C15RW	15	spring	rocks	water	55.70038	9.710981	190	Samso Belt	Kattegat	365.5222
C15SB	C15SB	15	spring	sand	sediment	55.70038	9.710981	191	Samso Belt	Kattegat	365.5222
C15SW	C15SW	15	spring	sand	water	55.70038	9.710981	192	Samso Belt	Kattegat	365.5222
2C14RB	2C14RB	14	autumn	rocks	sediment	56.12285	10.223454	193	Samso Belt	Kattegat	367.7272
2C14RW	2C14RW	14	autumn	rocks	water	56.12285	10.223454	194	Samso Belt	Kattegat	367.7272
2C14SB	2C14SB	14	autumn	sand	sediment	56.12285	10.223454	195	Samso Belt	Kattegat	367.7272
2C14SW	2C14SW	14	autumn	sand	water	56.12285	10.223454	196	Samso Belt	Kattegat	367.7272
C14RB	C14RB	14	spring	rocks	sediment	56.12285	10.223454	197	Samso Belt	Kattegat	367.7272
C14RW	C14RW	14	spring	rocks	water	56.12285	10.223454	198	Samso Belt	Kattegat	367.7272
C14SB	C14SB	14	spring	sand	sediment	56.12285	10.223454	199	Samso Belt	Kattegat	367.7272
C14SW	C14SW	14	spring	sand	water	56.12285	10.223454	200	Samso Belt	Kattegat	367.7272
2C17EB	2C17EB	17	autumn	eelgrass	sediment	55.4722	9.724384	201	Little Belt	Kattegat	369.8452
2C17EW	2C17EW	17	autumn	eelgrass	water	55.4722	9.724384	202	Little Belt	Kattegat	369.8452
2C17RB	2C17RB	17	autumn	rocks	sediment	55.4722	9.724384	203	Little Belt	Kattegat	369.8452
2C17RW	2C17RW	17	autumn	rocks	water	55.4722	9.724384	204	Little Belt	Kattegat	369.8452
2C17SB	2C17SB	17	autumn	sand	sediment	55.4722	9.724384	205	Little Belt	Kattegat	369.8452
2C17SW	2C17SW	17	autumn	sand	water	55.4722	9.724384	206	Little Belt	Kattegat	369.8452
C17EB	C17EB	17	spring	eelgrass	sediment	55.4722	9.724384	207	Little Belt	Kattegat	369.8452
C17EW	C17EW	17	spring	eelgrass	water	55.4722	9.724384	208	Little Belt	Kattegat	369.8452
C17RB	C17RB	17	spring	rocks	sediment	55.4722	9.724384	209	Little Belt	Kattegat	369.8452
C17RW	C17RW	17	spring	rocks	water	55.4722	9.724384	210	Little Belt	Kattegat	369.8452
C17SB	C17SB	17	spring	sand	sediment	55.4722	9.724384	211	Little Belt	Kattegat	369.8452
C17SW	C17SW	17	spring	sand	water	55.4722	9.724384	212	Little Belt	Kattegat	369.8452
2C12RB	2C12RB	12	autumn	rocks	sediment	56.60705	10.297121	213	Kattegat	Kattegat	378.2948
2C12RW	2C12RW	12	autumn	rocks	water	56.60705	10.297121	214	Kattegat	Kattegat	378.2948
2C12SB	2C12SB	12	autumn	sand	sediment	56.60705	10.297121	215	Kattegat	Kattegat	378.2948
2C12SW	2C12SW	12	autumn	sand	water	56.60705	10.297121	216	Kattegat	Kattegat	378.2948
C12RB	C12RB	12	spring	rocks	sediment	56.60705	10.297121	217	Kattegat	Kattegat	378.2948
C12RW	C12RW	12	spring	rocks	water	56.60705	10.297121	218	Kattegat	Kattegat	378.2948
C12SB	C12SB	12	spring	sand	sediment	56.60705	10.297121	219	Kattegat	Kattegat	378.2948
C12SW	C12SW	12	spring	sand	water	56.60705	10.297121	220	Kattegat	Kattegat	378.2948
2C11RB	2C11RB	11	autumn	rocks	sediment	56.7972	10.28607	221	Kattegat	Kattegat	386.8643
2C11RW	2C11RW	11	autumn	rocks	water	56.7972	10.28607	222	Kattegat	Kattegat	386.8643
2C11SB	2C11SB	11	autumn	sand	sediment	56.7972	10.28607	223	Kattegat	Kattegat	386.8643
